sample_id,candidate_id,target_job_family,resume_text,gold_name,gold_skills,gold_years_experience,gold_education,gold_experience_titles,is_parseable,annotator,notes
RES-001,resume_std_005590_exp08_3,嵌入式软件工程师,"求职意向：嵌入式软件工程师。
标准岗位：嵌入式软件工程师；岗位大族：软件研发；经验年限：8年；候选人层级：高级。
岗位系统技能画像：C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口、CAN、I2C、SPI、硬件调试。
个人概述：具备8年左右嵌入式软件工程师相关实践经验，熟悉C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：硕士研究生，硕士学位，普通高校，电子信息工程专业。
技能栈：C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口、CAN、I2C、SPI、硬件调试、TCP/IP、光学技术、内存管理、系统开发、Python、Shell脚本。
工作经历：嵌入式软件工程师方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：嵌入式软件工程师质量提升项目：担任核心成员，技术栈包括C/C++、嵌入式系统、Linux、RTOS、ARM、MCU、驱动开发、串口。面向嵌入式软件工程师岗位场景，围绕C/C++、嵌入式系统、Linux构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：将关键流程耗时降低约 20%。 软件研发流程优化平台：担任核心成员，技术栈包括MCU、驱动开发、串口、CAN、I2C、SPI、硬件调试、TCP/IP。基于MCU、驱动开发等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-002,resume_001898_exp01_1,推荐算法工程师,"求职意向：推荐算法工程师。
标准岗位：推荐算法工程师；岗位大族：算法；经验年限：1年；候选人层级：初级。
岗位系统技能画像：推荐算法、Machine Learning、NLP、深度学习、C/C++、PyTorch、机器学习、Linux、Java、TensorFlow、Python、信息检索。
个人概述：具备1年左右推荐算法工程师相关实践经验，熟悉推荐算法、Machine Learning、NLP、深度学习、C/C++、PyTorch、机器学习、Linux，能够承担模块开发、测试验证和问题跟进。
教育背景：本科，学士学位，普通高校，人工智能专业，无。
技能栈：推荐算法、Machine Learning、NLP、深度学习、C/C++、PyTorch、机器学习、Linux、Java、TensorFlow、Python、信息检索、SQL、Pandas、NumPy、Tableau、Power BI、FineBI。
工作经历：推荐算法工程师方向，累计1年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括LangChain、机器学习、分布式系统、Spark、DATA+AI、Multimodal AI。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：提升问题定位和交付效率。 多模态内容理解与标签系统：担任核心成员，技术栈包括Spark、LangChain、RAG、DATA+AI、模型训练、Python。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-003,resume_000206_exp08_3,测试开发工程师,"求职意向：测试开发工程师。
标准岗位：测试开发工程师；岗位大族：测试质量；经验年限：8年；候选人层级：高级。
岗位系统技能画像：AI测试、Go、Python、软件测试、C/C++、Java、Ai coding、JavaScript、PHP、Shell脚本、数据工程、软件开发。
个人概述：具备8年左右测试开发工程师相关实践经验，熟悉AI测试、Go、Python、软件测试、C/C++、Java、Ai coding、JavaScript，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：本科，学士学位，211高校，计算机科学与技术专业，英语四级。
技能栈：AI测试、Go、Python、软件测试、C/C++、Java、Ai coding、JavaScript、PHP、Shell脚本、数据工程、软件开发、Selenium、JUnit、JMeter、Postman、自动化测试、安全测试。
工作经历：测试开发工程师方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：接口自动化测试平台：担任主要负责人，技术栈包括系统设计、Selenium、接口测试、JUnit、JMeter、TypeScript。设计用例管理、接口执行、报告生成和 CI 集成流程。项目结果：将核心流程耗时降低约 20%。 性能压测与容量评估：担任核心成员，技术栈包括Automated Testing、JMeter、代码生成、云计算、安全测试、质量保障。使用压测工具定位瓶颈，输出容量基线和优化建议。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-004,resume_std_005930_exp03_3,结构工程师,"求职意向：结构工程师。
标准岗位：结构工程师；岗位大族：硬件；经验年限：3年；候选人层级：中级。
岗位系统技能画像：结构设计、SolidWorks、CAD、机械设计、可靠性测试、3D建模、公差分析、材料力学、有限元分析、样机验证、热设计、工艺评审。
个人概述：具备3年左右结构工程师相关实践经验，熟悉结构设计、SolidWorks、CAD、机械设计、可靠性测试、3D建模、公差分析、材料力学，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：博士研究生，博士学位，普通高校，电子信息工程专业。
技能栈：结构设计、SolidWorks、CAD、机械设计、可靠性测试、3D建模、公差分析、材料力学、有限元分析、样机验证、热设计、工艺评审、工业自动化、感知算法、自动化技术、光学技术、机器人与自动驾驶、仿真技术。
工作经历：结构工程师方向，累计3年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：智能硬件样机验证：担任主要负责人，技术栈包括结构设计、SolidWorks、CAD、机械设计、可靠性测试、3D建模、公差分析、材料力学。面向结构工程师岗位场景，围绕结构设计、SolidWorks、CAD构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：支撑多业务线稳定复用。 硬件热设计优化项目：担任核心成员，技术栈包括3D建模、公差分析、材料力学、有限元分析、样机验证、热设计、工艺评审、工业自动化。基于3D建模、公差分析等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-005,resume_002451_exp03_3,云计算工程师,"求职意向：云计算工程师。
标准岗位：云计算工程师；岗位大族：基础设施；经验年限：3年；候选人层级：中级。
岗位系统技能画像：Go、Kubernetes、C/C++、Docker、Java、Linux、Python、云计算、分布式系统、模型部署、AI基础设施、推理优化。
个人概述：具备3年左右云计算工程师相关实践经验，熟悉Go、Kubernetes、C/C++、Docker、Java、Linux、Python、云计算，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：本科，学士学位，211高校，网络工程专业，英语四级。
技能栈：Go、Kubernetes、C/C++、Docker、Java、Linux、Python、云计算、分布式系统、模型部署、AI基础设施、推理优化、JavaScript、SQL、AWS、Azure、Terraform、CI/CD。
工作经历：云计算工程师方向，累计3年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业 Kubernetes 容器平台：担任主要负责人，技术栈包括LLVM/MLIR、CUDA/NPU、CI/CD、C#、Go、分布式系统。负责集群规划、服务发布、监控告警和资源隔离，支撑多业务应用上云。项目结果：形成可复用的技术方案和项目文档。 云资源自动化交付平台：担任核心成员，技术栈包括Terraform、系统设计、JavaScript、LLVM/MLIR、分布式系统、TypeScript。使用 Terraform 和脚本完成资源编排、权限配置和交付流程标准化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-006,resume_003560_exp08_3,信息安全工程师,"求职意向：信息安全工程师。
标准岗位：信息安全工程师；岗位大族：安全；经验年限：8年；候选人层级：高级。
岗位系统技能画像：信息安全、大模型安全、Java、数据工程、模型安全、Python、AI安全、Go、Flink、计算机网络、Docker、Hadoop。
个人概述：具备8年左右信息安全工程师相关实践经验，熟悉信息安全、大模型安全、Java、数据工程、模型安全、Python、AI安全、Go，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：硕士研究生，硕士学位，985高校，计算机科学与技术专业，英语六级。
技能栈：信息安全、大模型安全、Java、数据工程、模型安全、Python、AI安全、Go、Flink、计算机网络、Docker、Hadoop、JavaScript、Kubernetes、Linux、Terraform、CI/CD、DevOps。
工作经历：信息安全工程师方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：统一监控告警平台：担任主要负责人，技术栈包括Java、高并发、CI/CD、Rust、Oracle、Python。接入主机、容器、数据库和业务指标，设计告警规则并推进故障闭环。项目结果：将核心流程耗时降低约 20%。 自动化发布与巡检系统：担任核心成员，技术栈包括风控、Vector Database、Go、安全测试、代码生成、CI/CD。编写脚本和流水线任务，减少人工发布风险并提升巡检效率。项目结果：将核心流程耗时降低约 20%。 线上故障应急与稳定性治理：担任核心成员，技术栈包括Rust、Linux、风控、JavaScript、安全测试、Go。参与故障定位、容量扩容、复盘改进和应急预案建设。项目结果：形成可复用的技术方案和项目文档。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-007,resume_001907_exp03_1,Android开发工程师,"求职意向：Android开发工程师。
标准岗位：Android开发工程师；岗位大族：软件研发；经验年限：3年；候选人层级：中级。
岗位系统技能画像：C/C++、软件开发、Android Framework、Java、Swift、性能优化、Android、Kotlin、跨平台开发、Objective-C、iOS、Python。
个人概述：具备3年左右Android开发工程师相关实践经验，熟悉C/C++、软件开发、Android Framework、Java、Swift、性能优化、Android、Kotlin，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：本科，学士学位，普通高校，数字媒体技术专业，英语四级。
技能栈：C/C++、软件开发、Android Framework、Java、Swift、性能优化、Android、Kotlin、跨平台开发、Objective-C、iOS、Python、React Native、Flutter、React、Vue、用户研究、品牌。
工作经历：Android开发工程师方向，累计3年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：移动端核心业务模块重构：担任主要负责人，技术栈包括JavaScript、性能测试、安全测试、架构设计、高并发、Flutter。负责页面架构、网络层封装、缓存策略和性能优化。项目结果：显著改善系统稳定性和可维护性。 跨端组件与发布体系：担任核心成员，技术栈包括Kotlin、移动端性能优化、JavaScript、高并发、Vue、React。沉淀通用组件，提升 Android/iOS 多端研发效率。项目结果：支撑多业务线稳定复用。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-008,resume_001583_exp02_2,安全工程师,"求职意向：安全工程师。
标准岗位：安全工程师；岗位大族：安全；经验年限：2年；候选人层级：初级。
岗位系统技能画像：C/C++、Python、信息安全、Java、Go、Docker、软件开发、机器学习、硬件开发、自动化技术、Linux、Machine Learning。
个人概述：具备2年左右安全工程师相关实践经验，熟悉C/C++、Python、信息安全、Java、Go、Docker、软件开发、机器学习，能够承担模块开发、测试验证和问题跟进。
教育背景：本科，学士学位，211高校，网络工程专业，英语四级。
技能栈：C/C++、Python、信息安全、Java、Go、Docker、软件开发、机器学习、硬件开发、自动化技术、Linux、Machine Learning、Kubernetes、Ansible、Terraform、DevOps、云计算、自动化测试。
工作经历：安全工程师方向，累计2年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：统一监控告警平台：担任主要负责人，技术栈包括Java、高并发、云计算、Kubernetes、Python、性能测试。接入主机、容器、数据库和业务指标，设计告警规则并推进故障闭环。项目结果：提升问题定位和交付效率。 自动化发布与巡检系统：担任核心成员，技术栈包括代码生成、安全测试、Linux、Rust、网络安全、Docker。编写脚本和流水线任务，减少人工发布风险并提升巡检效率。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-009,resume_001360_exp05_3,信息安全工程师,"求职意向：信息安全工程师。
标准岗位：信息安全工程师；岗位大族：安全；经验年限：5年；候选人层级：中级。
岗位系统技能画像：信息安全、大模型安全、Java、数据工程、模型安全、Python、AI安全、Go、Flink、计算机网络、Docker、Hadoop。
个人概述：具备5年左右信息安全工程师相关实践经验，熟悉信息安全、大模型安全、Java、数据工程、模型安全、Python、AI安全、Go，能够承担独立模块交付、跨团队协作和质量改进。
教育背景：本科，学士学位，双一流高校，软件工程专业，英语四级。
技能栈：信息安全、大模型安全、Java、数据工程、模型安全、Python、AI安全、Go、Flink、计算机网络、Docker、Hadoop、JavaScript、SQL、AWS、Azure、Kubernetes、Linux。
工作经历：信息安全工程师方向，累计5年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：统一监控告警平台：担任主要负责人，技术栈包括故障排查、Redis、Linux、Milvus、Java、Shell。接入主机、容器、数据库和业务指标，设计告警规则并推进故障闭环。项目结果：支撑多业务线稳定复用。 自动化发布与巡检系统：担任核心成员，技术栈包括Java、分布式系统、Shell、C#、Python、系统设计。编写脚本和流水线任务，减少人工发布风险并提升巡检效率。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
RES-010,resume_001866_exp10_4,DevOps工程师,"求职意向：DevOps工程师。
标准岗位：DevOps工程师；岗位大族：基础设施；经验年限：10年；候选人层级：专家。
岗位系统技能画像：模型服务化、模型部署、AI基础设施、模型工程、GPU内存优化、模型推理、DeepSpeed、Triton、推理优化、CUDA、MCP、Megatron。
个人概述：具备10年左右DevOps工程师相关实践经验，熟悉模型服务化、模型部署、AI基础设施、模型工程、GPU内存优化、模型推理、DeepSpeed、Triton，能够承担技术规划、架构演进、团队赋能和关键项目决策。
教育背景：硕士研究生，硕士学位，双一流高校，计算机科学与技术专业，英语六级。
技能栈：模型服务化、模型部署、AI基础设施、模型工程、GPU内存优化、模型推理、DeepSpeed、Triton、推理优化、CUDA、MCP、Megatron、Python、Java、Go、Docker、Kubernetes、Linux。
工作经历：DevOps工程师方向，累计10年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：统一监控告警平台：担任主要负责人，技术栈包括安全测试、系统设计、TypeScript、分布式系统、Docker、Oracle。接入主机、容器、数据库和业务指标，设计告警规则并推进故障闭环。项目结果：支撑多业务线稳定复用。 自动化发布与巡检系统：担任核心成员，技术栈包括Docker、Rust、Java、风控、Python、性能测试。编写脚本和流水线任务，减少人工发布风险并提升巡检效率。项目结果：形成可复用的技术方案和项目文档。 线上故障应急与稳定性治理：担任核心成员，技术栈包括Grafana、Prometheus、Oracle、Shell、DevOps、网络安全。参与故障定位、容量扩容、复盘改进和应急预案建设。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。",,,,,,,,
