source_standard_job,role_id,specialization,title_pattern
算法工程师,agent_algorithm,智能体算法,agent|智能体
算法工程师,llm_algorithm,大语言模型,大模型|llm|语言模型
算法工程师,aigc_algorithm,生成式内容,aigc|生成式|diffusion
算法工程师,multimodal_algorithm,多模态,多模态|vlm|跨模态
算法工程师,cv_algorithm,计算机视觉,计算机视觉|视觉算法|cv算法|感知算法
算法工程师,speech_algorithm,语音,语音|asr|tts
算法工程师,recommendation_algorithm,推荐,推荐算法|推荐系统
算法工程师,advertising_algorithm,广告,广告算法|ads
算法工程师,search_algorithm,搜索,搜索算法|搜索策略
算法工程师,risk_algorithm,风险控制,风控|反欺诈|反作弊|反爬
算法工程师,data_mining_algorithm,数据挖掘,数据挖掘
算法工程师,autonomous_driving_algorithm,自动驾驶,自动驾驶|智驾|adas
算法工程师,robotics_algorithm,机器人算法,机器人算法|具身智能
算法工程师,control_algorithm,控制,控制算法|运动控制
算法工程师,navigation_positioning_algorithm,导航定位,导航定位|组合导航|定位算法|(?<![a-z])slam(?![a-z])|(?<![a-z])vio(?![a-z])
数据分析师,data_scientist,数据科学,数据科学家
网络安全工程师,security_operations,安全运营,安全运营
信息安全工程师,security_operations,安全运营,安全运营
安全工程师,security_operations,安全运营,安全运营
软件开发工程师,software_architecture,软件架构,架构师|架构工程师
软件开发工程师,driver_software,驱动,驱动开发|驱动工程师
软件开发工程师,embedded_software,嵌入式,嵌入式|固件
软件开发工程师,system_software,系统软件,系统软件|编译器|工具链|runtime
软件开发工程师,frontend_engineering,前端,前端|frontend
软件开发工程师,client_engineering,客户端,客户端|android|安卓|ios
软件开发工程师,backend_engineering,服务端,后端|服务端|后台|backend|server|java|python|golang|go语言
软件开发工程师,test_development,测试开发,测试开发|测开|sdet
软件开发工程师,software_testing,软件测试,测试工程师|软件测试
软件开发工程师,game_technical_artist,游戏技术美术,技术美术|(?<![a-z])ta(?![a-z])
软件开发工程师,data_center_hvac,数据中心暖通,数据中心.*(暖通|制冷|液冷)|(暖通|制冷|液冷).*数据中心
安全工程师,ai_security_engineering,AI安全,ai安全|大模型安全|模型安全|aigc安全
安全工程师,cybersecurity_engineering,网络安全,网络安全|信息安全|渗透|攻防|漏洞|安全工程师
AI应用工程师,ai_product,AI产品,产品经理|产品负责人|产品专家
AI应用工程师,frontend_engineering,AI应用前端,前端|frontend
AI应用工程师,backend_engineering,AI应用后端,后端|服务端|backend|server
AI应用工程师,agent_application,智能体应用,agent|智能体
大模型应用工程师,ai_product,AI产品,产品经理|产品负责人|产品专家
大模型应用工程师,agent_application,智能体应用,agent|智能体
大模型应用工程师,frontend_engineering,AI应用前端,前端|frontend
大模型应用工程师,backend_engineering,AI应用后端,后端|服务端|backend|server
AI产品经理,smart_hardware_product,智能硬件产品,智能硬件产品|软硬件产品|硬件产品经理
AI应用工程师,smart_hardware_product,智能硬件产品,智能硬件产品|软硬件产品|硬件产品经理
大模型应用工程师,smart_hardware_product,智能硬件产品,智能硬件产品|软硬件产品|硬件产品经理
芯片设计工程师,chip_verification,芯片验证,芯片验证|asic验证|dft
硬件工程师,power_engineering,电源,电源|电池|bms
硬件工程师,thermal_engineering,热设计,热设计|散热
硬件工程师,structural_engineering,结构,结构设计|车身工程
硬件工程师,data_center_hvac,数据中心暖通,数据中心.*(暖通|制冷|液冷)|(暖通|制冷|液冷).*数据中心
硬件工程师,smart_hardware_product,智能硬件产品,智能硬件产品|软硬件产品|硬件产品经理
服务器工程师,data_center_hvac,数据中心暖通,数据中心.*(暖通|制冷|液冷)|(暖通|制冷|液冷).*数据中心
