job_id,title,extracted_skills,skill_count
job_0021a248ba84b4852604,微信基础-大数据工程师-AI方向,人工智能;智能体;数据平台,3
job_002ceb3e5b42aa63ca31,数字能源合作伙伴拓展与运营代表,市场宣发;品牌;数据分析,3
job_004d8c3cf506b99fdb17,腾讯云-运营开发高级工程师,系统架构,1
job_005d0fc6a965c6d5086a,《王者荣耀》引擎开发工程师（图形技术方向）,引擎开发;C++;图形渲染;技术美术,4
job_0061e61181c8c17d2528,微信安全-内容理解算法工程师-电商入驻审核,内容运营;大模型,2
job_0065b437e625bd4d2027,混元LLM大模型量化压缩高级算法工程师（北京/深圳/上海）,大模型;模型量化;模型压缩;场景设计;模型剪枝;模型推理;商业分析,7
job_009147ef23c13b68389c,企业微信-数据分析师,数据分析;用户增长;经营分析;产品经理;人工智能,5
job_0093a30b765356c0af5f,企业微信-数据分析师,产品经理;用户增长;机器学习,3
job_00b1e6d220e9c88c6ee2,腾讯投资-投资运营高级分析师/经理-资产管理方向,,0
job_015bbdf98c290af2305d,微信安全-后台开发工程师,游戏服务器;风控模型;人工智能,3
job_017c17ae899db80708da,《三角洲行动》-客户端开发工程师（玩法）-新星引力计划,游戏客户端;系统架构,2
job_0185e68022559fd9584f,混元AIGC体验设计师（模型美学方向）（北京/上海）,AIGC;人工智能;内容运营;场景设计,4
job_01bfabc78f62d388cd6e,Data Scientist - Algorithm（模型算法方向）,技术美术;Go;品牌;社区运营;产品经理;TypeScript;场景设计;大模型;机器学习;人工智能;数据科学;Python;PyTorch;TensorFlow;强化学习;Spark;模型优化,17
job_01c9f0045b698a9cc0b1,金融科技-大语言模型专家工程师,大模型;智能体;场景设计;人工智能;工具调用;Automated Testing;Embedding;多模态;自然语言处理;计算机视觉;强化学习;系统架构,12
job_01d30f75068fec7d7816,智能体-全栈开发工程师-CodeBuddy/WorkBuddy,智能体;全栈;系统架构;性能优化;产品经理;人工智能,6
job_01fa8404b211a0f30563,对象存储多媒体数据处理研发工程师,系统架构,1
job_02170fa4494c6db928bd,高级PS 框架研发工程师,解决方案;分布式系统;引擎开发;场景设计;模型量化;数据挖掘,6
job_021f4b8edcd4758ad827,微信-机器学习基础设施开发工程师（存储/向量检索/参数服务器）-系统架构方向,机器学习;系统架构;推荐算法;大模型;场景设计,5
job_03ab12bb9081e54acabc,营销与交易产品部-营销云AI产品经理,市场宣发;人工智能;产品经理;智能体;内容运营;场景设计;大模型;产品策划;检索增强生成;多模态;数据质量监控;数据分析;UX设计,13
job_03bec65c1678397617fb,在研UE5项目-技术美术-(流程向/渲染向),技术美术;图形渲染;产品经理;引擎开发;游戏策划;内容运营,6
job_03d19992cfdf82e481b5,魔方技术中心-高级技术美术-PCG方向,技术美术;引擎开发;渠道运营;人工智能,4
job_043ee2968801e5120f7a,大模型推理框架研发工程师,模型推理;引擎开发;分布式推理;人工智能,4
job_04a0d9651bc9f2c31aae,刷掌-海外AI技术支持工程师-武汉/西安,人工智能;技术支持;解决方案;产品经理;运维,5
job_0546a5d749c6d73e8330,高性能计算专家（深圳/北京）,高性能计算;Ascend;性能优化,3
job_0549de1517afa9c05903,元宝-用户运营经理,内容运营;渠道运营;市场宣发;数据分析;产品经理,5
job_055b957dd90bda5a365b,元宝-社区用户运营经理,社区运营;内容运营;游戏策划;产品经理;UX设计,5
job_06052934824f5c77a78a,AI计算库开发工程师(北京/深圳),人工智能;测试开发;性能优化,3
job_0630a41398e43b433019,模型数据算法专家/负责人-数据方向,数据治理;模型训练;多模态;内容运营;Embedding;数据标注;大模型,7
job_066b180241748e6887b2,存储业务后台研发工程师,游戏服务器;引擎开发,2
job_06e2b53467fedc984bd5,游戏引擎专家-性能优化方向,引擎开发;性能优化,2
job_06ed1fe7ea91ee4797f9,《无畏契约端手游》-赛事AI产品经理,人工智能;产品经理;游戏策划;内容运营;场景设计,5
job_0757546900ab046d3df2,多平台动作搜打撤-游戏客户端开发工程师(Gameplay)-新星引力计划,动画设计;游戏客户端;人工智能,3
job_07c8f22545b3d5063b50,微信视频号-推荐大模型后台开发工程师-加热系统,大模型;游戏服务器;推荐算法,3
job_07e04635b70262f78c9d,腾讯智能座舱-多模态/大语言模型算法专家,多模态;大模型;产品经理,3
job_07e8fb3427b5e566dab2,微信视频号-高级数据分析师,数据科学;用户增长;机器学习;产品经理;推荐算法;模型量化,6
job_07eaaa2ffe180c0d4b7b,和平精英-资深动画师,动画设计;引擎开发;游戏策划,3
job_07f7dfa1f2478b9563b6,游戏AI-高性能推理系统研发工程师,人工智能;AIGC;大模型;高性能计算;性能优化;模型推理;场景设计,7
job_087dc8f04039abebf529,AI for System工程师（北京/深圳）,人工智能;AIOps;机器学习;深度学习;大模型;运维,6
job_08f9e3162341baf31508,投放策略产品经理,产品经理;用户增长;大模型;人工智能;场景设计;推荐算法;数据分析,7
job_098128be84bddf05342e,具身大模型评测与数据工程师,大模型;Go;多模态;数据标注;场景设计;数据质量,6
job_099bcf827897b7d85d0d,腾讯云-MaaS产品高级经营分析师,产品经理;数据质量监控;经营分析;用户增长,4
job_09acf33c0e6e7a2f6d4f,高级广告推荐模型算法工程师,PyTorch;市场宣发;用户增长;大模型;人工智能;分布式训练;推荐算法,7
job_0a777b6aec711607a457,高性能计算工程师,高性能计算;大模型;性能优化;系统架构;模型优化;模型量化;多模态;人工智能;引擎开发;Ascend;CUDA,11
job_0ab7d442904f73688c24,3D 动作游戏《狩》研发项目管理（版本PM/技术PM）,项目管理;版本管理;用户增长,3
job_0b0454777354be28fb30,腾讯云汽车行业 - 大模型方案交付架构师,大模型;市场宣发;智能体;多模态;人工智能;解决方案;产品经理,7
job_0b47eecd339134806b8a,芯片设计工程师,芯片设计,1
job_0b5905144949b9ae30b2,元宝数据平台-数据工程,数据平台,1
