sample_id,job_id,source_type,title,description,gold_required_skills,gold_optional_skills,gold_responsibilities,is_parseable,annotator,notes
JD-001,job_eff927b000e80a2474d6,legacy_label,智能体-后台团队负责人-CodeBuddy/WorkBuddy,"1.负责腾讯云CodeBuddy/WorkBuddy的后台架构设计与优化，确保系统的高可用性和扩展性；
2.领导后台团队，制定技术标准和规范，确保团队成员按照统一标准进行开发；
3.与产品经理、前端开发团队及其他相关部门紧密协作，理解业务需求并提供技术解决方案；
4.跟踪最新的技术趋势，引入新技术和工具以提升团队效率和产品质量；
5.负责关键模块的设计和开发，解决开发过程中的技术难题，确保项目按时交付。",,,,,,
JD-002,JOB03743,enterprise,后端研发工程师-数据工程,"1、负责商业化实时数据流（数百万QPS）及实时数仓系统的开发与迭代；
2、负责巨量引擎各平台数据产品的数据链路及查询服务的开发与迭代；
3、负责商业化内部数据系统及应用产品的开发与迭代，如埋点平台、BI平台等。
1、具备良好的沟通能力和自我学习能力，具备较强的责任心和主人翁意识，积极推动问题解决和项目进展；
2、具备扎实的Java语言基础，具有良好的编码和文档习惯；
3、在大数据系统、数据应用类产品有开发落地经验优先；
4、熟悉Kafka/Redis/Flink/Clickhouse/Doris等技术者优先。
要求具备Java基础，有大数据系统或数据应用开发经验，熟悉Kafka/Redis/Flink/ClickHouse/Doris优先。
数据工程; 后端",,,,,,
JD-003,job_563e7839ae70813c1e52,legacy_label,AW项目组-AI产品前端工程师,"1.负责Web应用核心开发，搭建高质量可复用的前端架构及组件体系；
2.负责前端状态管理与样式系统，保障数据流清晰、界面一致；
3.集成各类复杂交互组件，保障良好用户体验；
4.参与前端游戏相关开发，处理Canvas渲染、触控交互及动画；
5.编写测试、维护组件文档，保障代码质量与可维护性；
6.对接LLM API，参与AI对话界面及Agent工作流前端实现。",,,,,,
JD-004,JOB03412,enterprise,Android热管理优化工程师-豆包手机助手（北京/深圳）,"1、负责Android/Linux功耗优化及热管理工作，涵盖内核、硬件外设及框架系统层面的优化；
2、负责Android/Linux系统热（Thermal）优化技术方案的设计、实现及问题分析；
3、负责功耗与热管理方案的落地执行；
4、参与产品散热评估及相关标准的制定与审核。
1、本科及以上学历，计算机相关专业，熟悉Android/Linux系统架构，3年以上Android硬件产品开发经验；
2、具备Android BSP相关经验，熟悉常用调试手段，具备扎实的C或C++语言基础；
3、精通Linux驱动及Kernel相关原理，熟悉Android热管理服务Thermal-Engine及Kernel Thermal Core，熟悉常见温控算法（SS/Monitor/Pid等），能够针对系统发热问题制定优化方案；
4、熟练使用功耗、热分析工具，对发热问题进行拆解定位；
5、具备较强的学习和问题分析能力，工作积极主动，团队协作意识强。

加分项
1、硬件基础知识牢固、有功耗优化（例如：多媒体、外设器件、SOC）经验者优先。
要求3年以上Android硬件产品经验，熟悉BSP、驱动、Kernel热管理和发热问题定位优化。
豆包手机助手; Android热管理",,,,,,
JD-005,JOB04844,enterprise,AI搜索算法实习生-Data AML,"日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：Data AML是字节跳动的机器学习中台，为抖音/今日头条/西瓜视频等业务提供推荐/广告/CV/语音/NLP的训练和推理系统。为公司内业务部门提供强大的机器学习算力，并在这些业务的问题上研究一些具有通用性和创新性的算法。同时，也通过火山引擎将一些机器学习/推荐系统的核心能力提供给外部企业客户。

1、以AI技术为驱动，打造下一代AI搜索、推荐、Agent应用；
2、负责搜索、推荐、Agent的算法优化，包括Query理解、召回、排序、索引筛选、质量评估等方向；
3、构建搜索、推荐、问答质量评估体系，包括自动化评估、负面案例分析等，让算法迭代有清晰、可解释的判断依据；
4、持续跟进搜索、推荐、Agent、机器学习等方向的技术进展，针对搜索、推荐、Agent业务场景设计简洁&高效的算法。
1、本科及以上学历在读，计算机科学、软件工程及相关专业优先；
2、熟练掌握C、C++、Golang、Java、Python中的至少一种编程语言，具备出色的Coding Skills、Data Structure与基础Algorithm知识，能够灵活运用知识；
3、对搜索与大模型的结合方向感兴趣，愿意持续学习新技术、深耕真实业务问题，从负面案例和User Feedback中挖掘系统短板；
4、熟悉机器学习、搜索、推荐、NLP、CV中的一个或多个领域；
5、有搜索引擎、推荐系统、策略、CV、NLP、语音、LLM、大模型applications、Agent、计算广告等一个或多个相关领域经验优先；
6、具备出色的工程能力、Hands-on Skills、架构设计能力、问题分析与解决能力，能够从复杂工程现象中直击问题本质。
熟练掌握C、C++、Golang、Java或Python，熟悉机器学习、搜索、推荐、NLP、CV中一个或多个，有搜索引擎、LLM、Agent或计算广告经验优先。
Data AML; AI搜索算法",,,,,,
JD-006,JOB03725,enterprise,服务端开发工程师（管理驾驶舱）-Data,"1、支持数据分析产品的设计与开发，包括但不限于数据指标体系构建、OLAP技术、数据可视化报表以及各类数据洞察工具等；
2、支持新一代智能数据分析产品的架构和服务搭建，包含但不限于Prompt Engineering、RAG架构设计、Agent等；
3、负责LLM Agent与现有数据应用的集成，实现自然语言查询、智能洞察等功能；
4、支持内部以及ToB商业化客户；
5、支持数据应用产品新技术新方向的预研探索和选型。
1、本科及以上学历，计算机相关专业优先，思维敏捷，沟通能力强，具有自我驱动能力；
2、扎实的编程功底，良好的抽象能力，熟悉常用设计模式；精通Java、Python、Go等至少一种，熟悉MySQL、Redis、ClickHouse，熟悉常用的消息中间件Kafka、RabbitMQ；
3、熟悉LLM应用开发，有Prompt Engineering、Agent、Function Calling、RAG应用开发经验者优先；
4、有AI或DSL2SQL或数据可视化Agent或管理驾驶舱开发经验者优先；
5、熟悉主流大模型（豆包、DeepSeek、GPT、Gemini等）以及各种AI Coding产品。
要求熟悉服务端、数据库和消息中间件，有LLM、Agent、DSL2SQL或数据可视化Agent经验优先。
Data; 管理驾驶舱",,,,,,
JD-007,job_e83c1961d035dbde04ad,legacy_label,智能体-商业化生态运营经理-CodeBuddy/WorkBuddy,"1.负责CodeBuddy/WorkBuddy等AI智能体产品的渠道商业化合作全流程落地，针对运营商、软件开发、硬件设备商等重点行业设计可规模化复制的增长与变现模式；
2.深度经营大客户与渠道伙伴关系，通过客情维护、商机精准挖掘及销售通路数据（用户增长/收入）的动态监控，主动识别瓶颈并提出策略优化方案；
3.主导外部生态合作拓展，联动行业头部伙伴制定联合拓客方案，推动从资源对接、项目落地到模式标准化的完整闭环，对重点项目收入转化率及健康度直接负责；
4.策划并执行ToB品牌运营动作，联合战略伙伴打造行业标杆案例、联合实践白皮书及专题市场活动，系统性提升产品在AI办公及企业服务领域的专业影响力；
5.定期输出经营分析报告，基于商机漏斗效率、用户生命周期价值、收入结构合理性等维度建立诊断模型，驱动业务决策迭代。",,,,,,
JD-008,job_536e831c73e3db711257,legacy_label,《异人之下》游戏客户端开发工程师（引擎Crash分析优化）,"1.负责分析定位引擎Crash问题以及底层BUG，并解决优化；
2.负责引擎性能分析和优化，包括卡顿，内存，功耗，并制定规范推动落地；
3.负责研效提升，分析定位卡点，优化工具链和管线，制定相应标准和规范；
4.关注业界发展和前沿技术，预研和验证新技术的可行性和落地效果。",,,,,,
JD-009,JOB00521,enterprise,云计算开发高级工程师,"请您详见岗位意向中的岗位职责
请您详见岗位意向中的岗位要求
岗位要求写明请详见岗位意向，未提供展开要求",,,,,,
JD-010,GOV-2026-109212-300130851014,government,广州铁路公安处基层所队民警,"用人司局：广州铁路公安局
职位简介：主要从事基层所队执勤执法及信息化建设相关工作
专业要求：大学本科：0809计算机类（计算机科学与技术、软件工程）； 研究生：0812计算机科学与技术、0854电子信息（计算类）
学历要求：本科及以上
学位要求：与最高学历相对应的学位
政治面貌：中共党员或共青团员
基层工作经历：无限制
考试类别：行政执法类
备注：1.咨询电话：020-61323488；
2.职位要求专业为职位要求最低学历及以上各学历阶段对应专业之一即可；
3.限2026届毕业生报考；
4.工作强度大、任务重，限男性；
5.按照招录人民警察要求开展体能测评；
6.符合公安部网站补充公告有关要求；
7.服从处内二次分配。",,,,,,
