role_id,domain,direction,role_name,role_definition,core_boundary,status
ml_algorithm,算法与模型,基础与通用算法,机器学习算法工程师,构建通用机器学习模型与训练优化方案,以监督学习表征学习或模型训练为主要交付,active
algorithm_research,算法与模型,基础与通用算法,算法研究员,开展算法机理研究与原型验证,以研究创新和论文级方法验证为主要交付,active
general_algorithm,算法与模型,基础与通用算法,算法工程师（待细分）,将通用算法能力工程化用于业务问题,职责未形成稳定专长且仍以算法研发为主,review_only
llm_algorithm,算法与模型,生成式与认知智能,大模型算法工程师,研发大语言模型训练推理或对齐算法,以基础大模型或语言模型算法为主要交付,active
agent_algorithm,算法与模型,生成式与认知智能,智能体算法工程师,研发任务规划工具使用或多智能体算法,以智能体决策规划或学习算法为主要交付,active
aigc_algorithm,算法与模型,生成式与认知智能,AIGC算法工程师,研发图像视频或内容生成模型,以生成式内容模型为主要交付,active
multimodal_algorithm,算法与模型,生成式与认知智能,多模态算法工程师,研发跨文本图像音频视频的联合建模能力,以跨模态理解或生成模型为主要交付,active
nlp_algorithm,算法与模型,生成式与认知智能,NLP算法工程师,研发文本语义理解检索或语言处理模型,以非基础大模型的自然语言处理为主要交付,active
cv_algorithm,算法与模型,生成式与认知智能,计算机视觉算法工程师,研发图像视频检测识别分割或视觉理解模型,以视觉感知模型为主要交付,active
speech_algorithm,算法与模型,生成式与认知智能,语音算法工程师,研发语音识别合成或音频理解模型,以语音或声学模型为主要交付,active
recommendation_algorithm,算法与模型,推荐搜索与决策算法,推荐算法工程师,研发个性化推荐与排序模型,以推荐召回排序和用户偏好建模为主要交付,active
advertising_algorithm,算法与模型,推荐搜索与决策算法,广告算法工程师,研发广告召回排序出价或转化模型,以广告投放优化为主要交付,active
search_algorithm,算法与模型,推荐搜索与决策算法,搜索算法工程师,研发检索召回排序和查询理解模型,以搜索系统相关性为主要交付,active
risk_algorithm,算法与模型,推荐搜索与决策算法,风控算法工程师,研发反欺诈反作弊或风险识别模型,以风险决策和安全策略为主要交付,active
data_mining_algorithm,算法与模型,推荐搜索与决策算法,数据挖掘算法工程师,研发模式发现预测或用户行为挖掘模型,以数据挖掘建模为主要交付,active
control_algorithm,算法与模型,具身与智能控制,控制算法工程师,研发运动控制路径规划或控制策略,以控制系统闭环优化为主要交付,active
autonomous_driving_algorithm,算法与模型,具身与智能控制,自动驾驶算法工程师,研发自动驾驶感知预测规划或控制算法,以自动驾驶系统为主要交付,active
robotics_algorithm,算法与模型,具身与智能控制,机器人算法工程师,研发机器人感知决策规划或控制算法,以机器人智能为主要交付,active
navigation_positioning_algorithm,算法与模型,具身与智能控制,导航定位算法工程师,研发卫星惯导融合建图或定位算法,以导航定位精度鲁棒性和状态估计为主要交付,active
llm_application,AI应用与平台,智能体与大模型应用,大模型应用工程师,构建基于大模型的业务应用与工作流,以模型接入检索增强提示设计或业务落地为主要交付,active
agent_application,AI应用与平台,智能体与大模型应用,智能体应用工程师,构建工具调用任务编排和多智能体应用,以智能体工作流和应用工程为主要交付,active
ai_application,AI应用与平台,智能体与大模型应用,AI应用工程师,构建非特定大模型的智能业务应用,以AI能力产品化和服务化为主要交付,active
ai_platform_infra,AI应用与平台,AI平台与产品,AI平台基础设施工程师,构建模型训练推理部署和算力平台,以机器学习系统或模型平台为主要交付,active
ai_product,AI应用与平台,AI平台与产品,AI产品经理,定义AI能力的用户价值需求和产品方案,以AI产品规划和验证为主要交付,active
smart_hardware_product,AI应用与平台,AI平台与产品,智能硬件产品经理,定义实体智能硬件产品规格并推进量产上市,以硬件产品路线图规格量产和供应链协同为主要交付,active
backend_engineering,软件工程,服务端与工程架构,后端开发工程师,构建业务服务接口数据访问和分布式后端系统,以服务端业务工程为主要交付,active
software_architecture,软件工程,服务端与工程架构,软件架构师,设计跨服务系统的技术架构和演进方案,以系统架构决策和技术治理为主要交付,active
general_software_engineering,软件工程,服务端与工程架构,软件开发工程师（待细分）,承担尚未具备稳定专业边界的软件研发工作,只能作为临时归类并需持续细分,review_only
frontend_engineering,软件工程,前端与客户端,前端开发工程师,构建Web界面和前端工程体系,以浏览器端交互和前端工程为主要交付,active
fullstack_engineering,软件工程,前端与客户端,全栈开发工程师,同时承担前端界面和服务端业务交付,必须同时具备前后端职责证据,active
client_engineering,软件工程,前端与客户端,客户端开发工程师,构建桌面移动或跨平台客户端,以客户端应用工程为主要交付,active
system_software,软件工程,系统与嵌入式软件,系统软件工程师,构建操作系统运行时编译工具链或基础软件,以系统级软件为主要交付,active
embedded_software,软件工程,系统与嵌入式软件,嵌入式软件工程师,构建设备固件嵌入式应用或边缘软件,以软硬协同的嵌入式软件为主要交付,active
driver_software,软件工程,系统与嵌入式软件,驱动开发工程师,构建设备驱动内核模块或硬件适配层,以驱动和底层适配为主要交付,active
data_engineering,数据智能,数据工程与治理,数据工程师,构建数据采集处理计算和数据管道,以ETL流批处理或数据开发为主要交付,active
data_warehouse,数据智能,数据工程与治理,数据仓库工程师,设计数仓分层建模和离线数据资产,以数仓模型和数据资产为主要交付,active
data_platform,数据智能,数据工程与治理,数据平台工程师,构建数据平台中台和数据服务能力,以数据平台产品或底座为主要交付,active
data_governance,数据智能,数据工程与治理,数据治理工程师,建立数据标准质量血缘和治理机制,以数据治理制度或平台能力为主要交付,active
data_analysis,数据智能,数据分析与数据库,数据分析师,通过指标分析实验和洞察支持业务决策,以分析结论和指标体系为主要交付,active
data_scientist,数据智能,数据分析与数据库,数据科学家,通过统计推断实验设计和决策模型解决业务问题,以实验因果推断预测或决策模型为主要交付,active
database_engineering,数据智能,数据分析与数据库,数据库工程师,设计管理优化数据库和数据存储系统,以数据库可靠性性能和存储为主要交付,active
cloud_engineering,云网与安全,云平台与运维,云计算工程师,构建云资源容器和云平台服务,以云计算平台或云原生服务为主要交付,active
devops_engineering,云网与安全,云平台与运维,DevOps工程师,建设持续交付可观测性和研发效能平台,以研发到运维自动化为主要交付,active
operations_engineering,云网与安全,云平台与运维,运维工程师,保障线上系统部署监控故障响应和稳定运行,以运行保障和事件响应为主要交付,active
server_engineering,云网与安全,云平台与运维,服务器工程师,负责服务器硬件系统集成或算力运行支撑,以服务器和算力设备为主要交付,active
data_center_hvac,云网与安全,数据中心基础设施,数据中心暖通工程师,设计建设或运维数据中心制冷暖通和能效系统,以机房园区级制冷液冷和设施能效为主要交付,active
network_engineering,云网与安全,网络与网络安全,网络工程师,设计部署维护网络连接和网络服务,以网络架构与网络设备为主要交付,active
cybersecurity_engineering,云网与安全,网络与网络安全,网络安全工程师,建设防护检测攻防和安全治理能力,以网络信息系统安全为主要交付,active
security_operations,云网与安全,网络与网络安全,安全运营工程师,持续监测研判处置安全事件并闭环改进,以SOC告警研判事件响应和运营指标为主要交付,active
ai_security_engineering,云网与安全,AI安全,AI安全工程师,建设模型内容提示和智能系统安全防护能力,以AI模型或AI应用安全为主要交付,active
chip_design,智能系统与端侧,芯片与计算硬件,芯片设计工程师,设计数字模拟SoC或专用芯片,以芯片架构电路或物理设计为主要交付,active
chip_verification,智能系统与端侧,芯片与计算硬件,芯片验证工程师,验证芯片功能时序和设计正确性,以芯片验证覆盖和缺陷定位为主要交付,active
chip_test,智能系统与端侧,芯片与计算硬件,芯片测试工程师,制定芯片测试量产和可靠性验证方案,以芯片测试和量产质量为主要交付,active
fpga_engineering,智能系统与端侧,芯片与计算硬件,FPGA工程师,开发FPGA逻辑实现和验证方案,以FPGA设计实现为主要交付,active
hardware_engineering,智能系统与端侧,芯片与计算硬件,硬件工程师,设计电子硬件单板和系统集成方案,以电子硬件设计为主要交付,active
power_engineering,智能系统与端侧,芯片与计算硬件,电源工程师,设计电源电池BMS或供电系统,以电源系统为主要交付,active
