case_id,review_decision,final_canonical_role_id,new_role_candidate_name,review_evidence
role_pool_v1_001,accept_proposal,advertising_algorithm,,广告召回排序出价和投放ROI模型是核心交付
role_pool_v1_002,replace_existing,llm_algorithm,,主要职责是大模型后训练指令微调和RLHF
role_pool_v1_003,accept_proposal,agent_application,,多智能体编排工具调用和RAG工作流是核心交付
role_pool_v1_004,accept_proposal,ai_application,,多模型路由计费和AI服务平台的全链路应用工程
role_pool_v1_005,accept_proposal,ai_platform_infra,,GPU调度训练系统和AI集群可靠性是核心职责
role_pool_v1_006,accept_proposal,ai_product,,负责AI Agent产品规划需求和生命周期管理
role_pool_v1_007,accept_proposal,ai_security_engineering,,针对提示注入越狱和模型输出建设大模型安全能力
role_pool_v1_008,accept_proposal,aigc_algorithm,,营销图文视频生成和生成引擎是主要交付
role_pool_v1_009,replace_existing,cybersecurity_engineering,,鸿蒙漏洞挖掘和操作系统攻防属于网络安全工程
role_pool_v1_010,accept_proposal,audio_video_engineering,,直播音视频采集传输播放和体验优化是主要职责
role_pool_v1_011,new_role_candidate,,智能驾驶产品经理,职责是NOA产品规划PRD和量产项目管理而非算法研发
role_pool_v1_012,accept_proposal,backend_engineering,,Java服务接口数据库和分布式后端系统是主要交付
role_pool_v1_013,insufficient_evidence,,,同一职位列出编译器存储大数据搜推等互斥方向无法确定单一岗位
role_pool_v1_014,accept_proposal,chip_test,,ATE生产测试设备软件和量产测试流程是核心职责
role_pool_v1_015,accept_proposal,chip_verification,,SOC验证和覆盖率验证是核心职责
role_pool_v1_016,accept_proposal,client_engineering,,直播客户端开发属于客户端应用工程
role_pool_v1_017,accept_proposal,cloud_engineering,,容灾高可用和云基础设施架构是主要交付
role_pool_v1_018,exclude_out_of_scope,,,电池标准化业务项目管理不构成当前技术岗位的主要交付
role_pool_v1_019,accept_proposal,control_algorithm,,机器人运动控制强化学习和Sim-to-Real控制策略是核心交付
role_pool_v1_020,accept_proposal,cv_algorithm,,无人机视觉检测分割和Camera-LiDAR感知是核心交付
role_pool_v1_021,new_role_candidate,,数据科学家,AB实验因果推断和统计建模明显区别于常规数据分析
role_pool_v1_022,replace_existing,backend_engineering,,地图导航POI后端服务和API开发是主要交付
role_pool_v1_023,new_role_candidate,,地图数据工程师,GIS地图采集维护和质量评估不等同于数据治理工程
role_pool_v1_024,accept_proposal,data_mining_algorithm,,数据挖掘建模和用户行为预测是主要交付
role_pool_v1_025,accept_proposal,data_platform,,AI数据平台建设和数据服务是主要交付
role_pool_v1_026,accept_proposal,data_warehouse,,数仓分层建模和离线资产建设是主要交付
role_pool_v1_027,accept_proposal,database_engineering,,数据库内核和存储性能优化是主要交付
role_pool_v1_028,replace_existing,quality_engineering,,质量体系效能度量和交付质量改进优先于运维自动化
role_pool_v1_029,replace_existing,backend_engineering,,高并发营销服务架构和数据一致性属于后端工程
role_pool_v1_030,accept_proposal,embedded_software,,飞控嵌入式软件和硬件适配是主要交付
role_pool_v1_031,accept_proposal,frontend_engineering,,前端研发标题和Web工程职责一致
role_pool_v1_032,accept_proposal,fullstack_engineering,,Vue前端与FastAPI后端均为必要职责
role_pool_v1_033,new_role_candidate,,游戏技术美术,Unity渲染Shader和美术工具链是独立的技术美术岗位
role_pool_v1_034,accept_proposal,hardware_engineering,,飞控硬件原理图PCB和电路调试是主要交付
role_pool_v1_035,replace_existing,nlp_algorithm,,多语言文本理解机器翻译和NER是主要算法交付
role_pool_v1_036,replace_existing,backend_engineering,,Java微服务数据库和分布式系统开发是主要交付
role_pool_v1_037,accept_proposal,ml_algorithm,,机器学习模型研发和训练优化是主要交付
role_pool_v1_038,accept_proposal,model_testing,,Agent效果评测和模型能力验证是主要交付
role_pool_v1_039,accept_proposal,multimodal_algorithm,,多模态算法标题和职责一致
role_pool_v1_040,accept_proposal,network_engineering,,数据中心网络交付和网络资源规划是主要交付
role_pool_v1_041,replace_existing,frontend_engineering,,Vue React TypeScript和前端工程化是主要职责
role_pool_v1_042,accept_proposal,operations_engineering,,线上系统部署监控和稳定性保障是主要交付
role_pool_v1_043,new_role_candidate,,智能硬件产品经理,机器人电池产品规划和上市管理不是电源设计岗位
role_pool_v1_044,accept_proposal,quality_engineering,,供应商质量体系来料质量和8D改进是主要交付
role_pool_v1_045,accept_proposal,recommendation_algorithm,,用户画像个性化触达和Uplift推荐策略是主要交付
role_pool_v1_046,accept_proposal,risk_algorithm,,反爬识别和风险策略模型是主要交付
role_pool_v1_047,accept_proposal,robotics_algorithm,,无人机LiDAR SLAM定位和导航算法是主要交付
role_pool_v1_048,replace_existing,hardware_engineering,,机器人传感器选型接口和标定属于硬件工程
role_pool_v1_049,accept_proposal,search_algorithm,,地图检索召回排序和查询理解是主要交付
role_pool_v1_050,new_role_candidate,,数据中心设施设计工程师,机房选址暖通电气和数据中心设施设计不等同服务器工程
role_pool_v1_051,replace_existing,data_engineering,,ETL数据管道数据闭环和Spark Flink是主要交付
role_pool_v1_052,replace_existing,cybersecurity_engineering,,红队渗透APT攻防和漏洞利用属于网络安全工程
role_pool_v1_053,exclude_out_of_scope,,,保险产品核保职责不属于新一代信息技术岗位
role_pool_v1_054,accept_proposal,speech_algorithm,,ASR模型推理和语音服务性能优化是主要交付
role_pool_v1_055,accept_proposal,structural_engineering,,无人机机械结构材料和有限元设计是主要交付
role_pool_v1_056,replace_existing,communication_engineering,,通信协议栈信号处理和无人机通信系统是主要交付
role_pool_v1_057,exclude_out_of_scope,,,家电售后安装维修培训不属于软件或IT技术支持岗位
role_pool_v1_058,accept_proposal,test_development,,自动化测试框架和CI质量保障是主要交付
role_pool_v1_059,accept_proposal,thermal_engineering,,芯片板级系统热流体设计是主要交付
role_pool_v1_060,new_role_candidate,,数据中心暖通工程师,机房暖通制冷DCIM和PUE优化是独立设施岗位
role_pool_v1_061,exclude_out_of_scope,,,用户增长产品运营未体现AI产品规划或技术交付主责
role_pool_v1_062,new_role_candidate,,安全运营工程师,SOC SIEM应急响应和安全运营指标构成独立能力边界
role_pool_v1_063,replace_existing,backend_engineering,,CRM后端Java分布式系统开发证据充分
role_pool_v1_064,new_role_candidate,,业务架构师,流程体系CRM SRM PLM整合以业务架构为主要交付
role_pool_v1_065,exclude_out_of_scope,,,大客户商务拓展和谈判不属于技术解决方案工程
role_pool_v1_066,replace_existing,cybersecurity_engineering,,漏洞情报渗透测试代码审计和攻防是主要交付
role_pool_v1_067,replace_existing,backend_engineering,,AI审核系统后端架构和模型服务集成是主要交付
role_pool_v1_068,new_role_candidate,,智能硬件产品经理,自动化产线产品规划和项目管理不等同硬件设计
role_pool_v1_069,exclude_out_of_scope,,,服务运营管理不属于技术支持或解决方案工程
role_pool_v1_070,accept_proposal,cybersecurity_engineering,,业务反爬黑灰产对抗和安全智能体是主要交付
role_pool_v1_071,replace_existing,ai_application,,智能客服工具调用和AI应用规模化落地是主要交付
role_pool_v1_072,new_role_candidate,,智能硬件产品经理,AI消费硬件产品路线图和上市管理是主要交付
role_pool_v1_073,exclude_out_of_scope,,,大客户销售职责不属于技术岗位池
role_pool_v1_074,accept_proposal,cybersecurity_engineering,,账号安全监控应急响应和黑灰产对抗是主要交付
role_pool_v1_075,replace_existing,backend_engineering,,订单系统Java高并发架构和分布式存储是主要交付
role_pool_v1_076,replace_existing,hardware_engineering,,机器人硬件架构电路选型和量产导入属于硬件工程
role_pool_v1_077,exclude_out_of_scope,,,工业品大客户经营和销售策略不属于技术岗位
role_pool_v1_078,accept_proposal,cybersecurity_engineering,,移动端逆向反爬红蓝对抗属于网络安全工程
role_pool_v1_079,replace_existing,backend_engineering,,语音平台后端服务接口和CTI集成是主要交付
role_pool_v1_080,exclude_out_of_scope,,,紧固件制造质量管理不属于新一代信息技术岗位
role_pool_v1_081,exclude_out_of_scope,,,客户开发与销售策略不属于技术岗位
role_pool_v1_082,accept_proposal,cybersecurity_engineering,,账号安全运营监控和应急响应属于网络安全工程
role_pool_v1_083,new_role_candidate,,导航定位算法工程师,GNSS INS组合导航和多传感器定位具有稳定独立边界
role_pool_v1_084,accept_proposal,ai_platform_infra,,AI基础设施软件架构编译器算子和异构计算是主要交付
role_pool_v1_085,exclude_out_of_scope,,,采销和供应商管理不属于技术岗位
role_pool_v1_086,accept_proposal,cybersecurity_engineering,,数据泄漏溯源取证SIEM EDR和应急响应属于网络安全工程
role_pool_v1_087,replace_existing,cv_algorithm,,视觉SLAM多视图几何和VIO定位属于计算机视觉算法
role_pool_v1_088,replace_existing,hardware_engineering,,智能硬件电路PCB和量产导入属于硬件工程
role_pool_v1_089,exclude_out_of_scope,,,跨境采销供应链管理不属于技术岗位
role_pool_v1_090,accept_proposal,cybersecurity_engineering,,岗位标题明确网络安全与隐私保护且无相反证据
role_pool_v1_091,insufficient_evidence,,,软件开发职责过泛且未提供技术栈或交付边界
role_pool_v1_092,new_role_candidate,,数据中心暖通工程师,数据中心暖通系统设计和工程交付构成独立设施岗位
role_pool_v1_093,exclude_out_of_scope,,,化工品类采销管理不属于技术岗位
role_pool_v1_094,accept_proposal,cybersecurity_engineering,,岗位标题明确网络安全且无相反证据
