case_id,candidate_id,source_target_role,candidate_text,candidate_skills,years_experience,gold_canonical_role_id,gold_accepted_job_ids,gold_rejected_job_ids,review_decision,reviewer,notes
CM-001,resume_002134_exp02_2,广告算法工程师,"求职意向：广告算法工程师。
标准岗位：广告算法工程师；岗位大族：算法；经验年限：2年；候选人层级：初级。
岗位系统技能画像：Go、深度学习、Java、Linux、Machine Learning、Python、TensorFlow、推荐算法、机器学习、NLP、PyTorch、分布式计算。
个人概述：具备2年左右广告算法工程师相关实践经验，熟悉Go、深度学习、Java、Linux、Machine Learning、Python、TensorFlow、推荐算法，能够承担模块开发、测试验证和问题跟进。
教育背景：本科，学士学位，211高校，软件工程专业，英语四级。
技能栈：Go、深度学习、Java、Linux、Machine Learning、Python、TensorFlow、推荐算法、机器学习、NLP、PyTorch、分布式计算、Multi-Agent、AgentBench、AIBot、QClaw-AI、LLM/NLP、计算机视觉。
工作经历：广告算法工程师方向，累计2年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括LLM/NLP、Large Language Model、架构设计、计算机视觉、C#、机器学习。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：提升问题定位和交付效率。 多模态内容理解与标签系统：担任核心成员，技术栈包括QClaw-AI、Multi-Agent、大模型、TypeScript、模型推理、SQL。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：支撑多业务线稳定复用。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""Go"", ""深度学习"", ""Java"", ""Linux"", ""Machine Learning"", ""Python"", ""TensorFlow"", ""推荐算法"", ""机器学习"", ""NLP"", ""PyTorch"", ""分布式计算"", ""Multi-Agent"", ""AgentBench"", ""AIBot"", ""QClaw-AI"", ""LLM/NLP"", ""计算机视觉"", ""自然语言处理"", ""Large Language Model"", ""NCCL"", ""DPDK"", ""C/C++"", ""Hadoop""]",2,,,,,,
CM-002,resume_000200_exp08_3,AI Agent算法工程师,"求职意向：AI Agent算法工程师。
标准岗位：AI Agent算法工程师；岗位大族：AI算法；经验年限：8年；候选人层级：高级。
岗位系统技能画像：LLM、Machine Learning、NLP、计算机视觉、TensorFlow、机器学习、C/C++、PyTorch、Python、RLHF、SFT、深度学习。
个人概述：具备8年左右AI Agent算法工程师相关实践经验，熟悉LLM、Machine Learning、NLP、计算机视觉、TensorFlow、机器学习、C/C++、PyTorch，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：本科，学士学位，双一流高校，人工智能专业，英语四级。
技能栈：LLM、Machine Learning、NLP、计算机视觉、TensorFlow、机器学习、C/C++、PyTorch、Python、RLHF、SFT、深度学习、Pandas、NumPy、Hadoop、Spark、Tableau、Power BI。
工作经历：AI Agent算法工程师方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括机器学习、Spark、CPU/GPU、向量检索、Go、CV/NLP。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：显著改善系统稳定性和可维护性。 多模态内容理解与标签系统：担任核心成员，技术栈包括深度学习、CV/NLP、JavaScript、数据仓库、分布式系统、Go。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：支撑多业务线稳定复用。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""LLM"", ""Machine Learning"", ""NLP"", ""计算机视觉"", ""TensorFlow"", ""机器学习"", ""C/C++"", ""PyTorch"", ""Python"", ""RLHF"", ""SFT"", ""深度学习"", ""Pandas"", ""NumPy"", ""Hadoop"", ""Spark"", ""Tableau"", ""Power BI"", ""FineBI"", ""OpenAI"", ""Agent"", ""RAG"", ""向量检索"", ""CV/NLP""]",8,,,,,,
CM-003,resume_005159_exp02_2,AI Agent应用工程师,"求职意向：AI Agent应用工程师。
标准岗位：AI Agent应用工程师；岗位大族：AI应用；经验年限：2年；候选人层级：初级。
岗位系统技能画像：Go、Python、prompt工程、C/C++、Java、LangChain、Agent、Function Calling、LLM、RAG、软件开发、LangGraph。
个人概述：具备2年左右AI Agent应用工程师相关实践经验，熟悉Go、Python、prompt工程、C/C++、Java、LangChain、Agent、Function Calling，能够承担模块开发、测试验证和问题跟进。
教育背景：专科，职业技术学院，计算机科学与技术专业，英语六级。
技能栈：Go、Python、prompt工程、C/C++、Java、LangChain、Agent、Function Calling、LLM、RAG、软件开发、LangGraph、JavaScript、HTML、CSS、React、Vue、TypeScript。
工作经历：AI Agent应用工程师方向，累计2年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业级运营管理后台：担任主要负责人，技术栈包括Python、性能优化、数据分析、React、市场营销、前端工程化。负责组件库封装、状态管理、权限路由和复杂表单交互。项目结果：支撑多业务线稳定复用。 数据可视化大屏：担任核心成员，技术栈包括Power BI、Vue、HTML、CSS、Tableau、JavaScript。实现图表组件、实时数据刷新和性能优化，支持业务运营分析。项目结果：支撑多业务线稳定复用。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""Go"", ""Python"", ""prompt工程"", ""C/C++"", ""Java"", ""LangChain"", ""Agent"", ""Function Calling"", ""LLM"", ""RAG"", ""软件开发"", ""LangGraph"", ""JavaScript"", ""HTML"", ""CSS"", ""React"", ""Vue"", ""TypeScript"", ""代码测试"", ""架构设计"", ""分布式系统"", ""品牌"", ""市场营销"", ""用户研究""]",2,,,,,,
CM-004,resume_002542_exp00_0,AI应用工程师,"求职意向：AI应用工程师。
标准岗位：AI应用工程师；岗位大族：AI应用；经验年限：0年；候选人层级：校招/无全职经验。
岗位系统技能画像：AI应用开发、Go、Java、Python、大模型应用、软件开发、C/C++、NLP、Machine Learning、React、JavaScript、MySQL。
个人概述：具备0年左右AI应用工程师相关实践经验，熟悉AI应用开发、Go、Java、Python、大模型应用、软件开发、C/C++、NLP，能够承担基础实践、原型验证和学习型任务。
教育背景：本科，学士学位，普通高校，网络工程专业，无。
技能栈：AI应用开发、Go、Java、Python、大模型应用、软件开发、C/C++、NLP、Machine Learning、React、JavaScript、MySQL、HTML、CSS、Vue、Webpack、TypeScript、Redux。
工作经历：AI应用工程师方向，累计0年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：SaaS 业务系统全栈开发：担任主要负责人，技术栈包括React、JavaScript、DevOps、Node.js、云计算、系统设计。负责前端页面、后端接口、数据库设计和部署发布。项目结果：形成可复用的技术方案和项目文档。 低代码配置平台：担任核心成员，技术栈包括系统设计、Redux、Webpack、HTML、Spring Boot、Linux。实现表单配置、流程编排、权限控制和可视化搭建能力。项目结果：形成可复用的技术方案和项目文档。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""AI应用开发"", ""Go"", ""Java"", ""Python"", ""大模型应用"", ""软件开发"", ""C/C++"", ""NLP"", ""Machine Learning"", ""React"", ""JavaScript"", ""MySQL"", ""HTML"", ""CSS"", ""Vue"", ""Webpack"", ""TypeScript"", ""Redux"", ""Vuex"", ""Spring Boot"", ""Django"", ""Flask"", ""Node.js"", ""Kafka""]",0,,,,,,
CM-005,resume_003439_exp08_4,AI Infra工程师,"求职意向：AI Infra工程师。
标准岗位：AI Infra工程师；岗位大族：AI基础设施；经验年限：8年；候选人层级：高级。
岗位系统技能画像：分布式训练、模型压缩、PyTorch、Python、DeepSpeed、大模型训练、AI基础设施、C/C++、GPU内存优化、TensorRT、TensorFlow、Megatron。
个人概述：具备8年左右AI Infra工程师相关实践经验，熟悉分布式训练、模型压缩、PyTorch、Python、DeepSpeed、大模型训练、AI基础设施、C/C++，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：本科，学士学位，双一流高校，信息安全专业，英语四级。
技能栈：分布式训练、模型压缩、PyTorch、Python、DeepSpeed、大模型训练、AI基础设施、C/C++、GPU内存优化、TensorRT、TensorFlow、Megatron、Java、AWS、Azure、Docker、Kubernetes、Linux。
工作经历：AI Infra工程师方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业 Kubernetes 容器平台：担任主要负责人，技术栈包括C#、Grafana、Terraform、客户成功、交付、Redis。负责集群规划、服务发布、监控告警和资源隔离，支撑多业务应用上云。项目结果：将核心流程耗时降低约 20%。 云资源自动化交付平台：担任核心成员，技术栈包括Prometheus、C#、Elasticsearch、代码测试、Terraform、ARM。使用 Terraform 和脚本完成资源编排、权限配置和交付流程标准化。项目结果：显著改善系统稳定性和可维护性。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""分布式训练"", ""模型压缩"", ""PyTorch"", ""Python"", ""DeepSpeed"", ""大模型训练"", ""AI基础设施"", ""C/C++"", ""GPU内存优化"", ""TensorRT"", ""TensorFlow"", ""Megatron"", ""Java"", ""AWS"", ""Azure"", ""Docker"", ""Kubernetes"", ""Linux"", ""Ansible"", ""Terraform"", ""云计算"", ""CI/CD"", ""Ascend"", ""ARM""]",8,,,,,,
CM-006,resume_std_006039_exp01_1,AI产品经理,"求职意向：AI产品经理。
标准岗位：AI产品经理；岗位大族：产品；经验年限：1年；候选人层级：初级。
岗位系统技能画像：AI产品设计、大模型产品、AIGC产品、需求分析、PRD、用户研究、数据分析、原型设计、Prompt工程、RAG、产品规划、增长分析。
个人概述：具备1年左右AI产品经理相关实践经验，熟悉AI产品设计、大模型产品、AIGC产品、需求分析、PRD、用户研究、数据分析、原型设计，能够承担模块开发、测试验证和问题跟进。
教育背景：本科，学士学位，211高校，计算机科学与技术专业。
技能栈：AI产品设计、大模型产品、AIGC产品、需求分析、PRD、用户研究、数据分析、原型设计、Prompt工程、RAG、产品规划、增长分析、prompt工程、AIGC、大模型应用、AI工作流设计、Agent、AI安全。
工作经历：AI产品经理方向，累计1年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：AI 助手需求闭环平台：担任核心成员，技术栈包括AI产品设计、大模型产品、AIGC产品、需求分析、PRD、用户研究、数据分析、原型设计。面向AI产品经理岗位场景，围绕AI产品设计、大模型产品、AIGC产品构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：形成可复用的技术方案和项目文档。 大模型产品工作台：担任核心成员，技术栈包括用户研究、数据分析、原型设计、Prompt工程、RAG、产品规划、增长分析、prompt工程。基于用户研究、数据分析等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。","[""AI产品设计"", ""大模型产品"", ""AIGC产品"", ""需求分析"", ""PRD"", ""用户研究"", ""数据分析"", ""原型设计"", ""Prompt工程"", ""RAG"", ""产品规划"", ""增长分析"", ""AIGC"", ""大模型应用"", ""AI工作流设计"", ""Agent"", ""AI安全""]",1,,,,,,
CM-007,resume_std_005509_exp02_2,AI安全工程师,"求职意向：AI安全工程师。
标准岗位：AI安全工程师；岗位大族：AI安全；经验年限：2年；候选人层级：初级。
岗位系统技能画像：大模型安全、Prompt Injection、Jailbreak、Guardrail、红队测试、模型评测、内容安全、对抗样本、风险控制、安全策略、Python、安全测试。
个人概述：具备2年左右AI安全工程师相关实践经验，熟悉大模型安全、Prompt Injection、Jailbreak、Guardrail、红队测试、模型评测、内容安全、对抗样本，能够承担模块开发、测试验证和问题跟进。
教育背景：博士研究生，博士学位，985高校，计算机科学与技术专业。
技能栈：大模型安全、Prompt Injection、Jailbreak、Guardrail、红队测试、模型评测、内容安全、对抗样本、风险控制、安全策略、Python、安全测试、AI安全、C/C++、RLHF、AI测试、DPO、Go。
工作经历：AI安全工程师方向，累计2年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：AI安全工程师质量提升项目：担任核心成员，技术栈包括大模型安全、Prompt Injection、Jailbreak、Guardrail、红队测试、模型评测、内容安全、对抗样本。面向AI安全工程师岗位场景，围绕大模型安全、Prompt Injection、Jailbreak构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：支撑多业务线稳定复用。 AI安全流程优化平台：担任核心成员，技术栈包括模型评测、内容安全、对抗样本、风险控制、安全策略、Python、安全测试、AI安全。基于模型评测、内容安全等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。","[""大模型安全"", ""Prompt Injection"", ""Jailbreak"", ""Guardrail"", ""红队测试"", ""模型评测"", ""内容安全"", ""对抗样本"", ""风险控制"", ""安全策略"", ""Python"", ""安全测试"", ""AI安全"", ""C/C++"", ""RLHF"", ""AI测试"", ""DPO"", ""Go""]",2,,,,,,
CM-008,resume_003603_exp10_4,AIGC算法工程师,"求职意向：AIGC算法工程师。
标准岗位：AIGC算法工程师；岗位大族：AI算法；经验年限：10年；候选人层级：专家。
岗位系统技能画像：TensorFlow、Python、计算机视觉、Diffusion、PyTorch、机器学习、AIGC、Machine Learning、图像图形技术、多模态、C/C++、LLM。
个人概述：具备10年左右AIGC算法工程师相关实践经验，熟悉TensorFlow、Python、计算机视觉、Diffusion、PyTorch、机器学习、AIGC、Machine Learning，能够承担技术规划、架构演进、团队赋能和关键项目决策。
教育背景：博士研究生，博士学位，985高校，计算机科学与技术专业，英语六级。
技能栈：TensorFlow、Python、计算机视觉、Diffusion、PyTorch、机器学习、AIGC、Machine Learning、图像图形技术、多模态、C/C++、LLM、Java、RAG、PCG/AI、知识库、Large Language Model、Scikit-learn。
工作经历：AIGC算法工程师方向，累计10年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括AIGC、架构设计、vLLM、Scikit-learn、Large Language Model、Computer Vision。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：支撑多业务线稳定复用。 多模态内容理解与标签系统：担任核心成员，技术栈包括Python、系统设计、vLLM、Rust、TensorFlow、Java。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：将核心流程耗时降低约 20%。 大模型推理性能优化：担任核心成员，技术栈包括Rust、机器学习、系统设计、Flink、Spark、架构设计。围绕批处理、缓存、量化和 GPU 资源利用率进行调优，降低在线推理延迟。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""TensorFlow"", ""Python"", ""计算机视觉"", ""Diffusion"", ""PyTorch"", ""机器学习"", ""AIGC"", ""Machine Learning"", ""图像图形技术"", ""多模态"", ""C/C++"", ""LLM"", ""Java"", ""RAG"", ""PCG/AI"", ""知识库"", ""Large Language Model"", ""Scikit-learn"", ""Computer Vision"", ""风控模型"", ""vLLM"", ""分布式训练"", ""深度学习"", ""Multimodal AI""]",10,,,,,,
CM-009,resume_003758_exp08_3,算法研究员,"求职意向：算法研究员。
标准岗位：算法研究员；岗位大族：AI算法；经验年限：8年；候选人层级：高级。
岗位系统技能画像：PyTorch、C/C++、机器学习、PPO、Machine Learning、Python、TensorFlow、深度学习、计算机视觉、GRPO、游戏与图形开发、世界模型。
个人概述：具备8年左右算法研究员相关实践经验，熟悉PyTorch、C/C++、机器学习、PPO、Machine Learning、Python、TensorFlow、深度学习，能够承担核心项目主导、方案评审和复杂问题攻坚。
教育背景：本科，学士学位，双一流高校，软件工程专业，无。
技能栈：PyTorch、C/C++、机器学习、PPO、Machine Learning、Python、TensorFlow、深度学习、计算机视觉、GRPO、游戏与图形开发、世界模型、SQL、Go、Hadoop、Spark、Tableau、Power BI。
工作经历：算法研究员方向，累计8年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：企业知识库 RAG 问答平台：担任主要负责人，技术栈包括MindSpore、TensorFlow、模型微调、深度学习、机器学习、Flux。负责语义检索、召回排序、Prompt 模板和效果评估，沉淀离线评测集并优化回答准确率。项目结果：形成可复用的技术方案和项目文档。 多模态内容理解与标签系统：担任核心成员，技术栈包括NPU/GPU、Flink、Model Context Protocol、Embedding、Python、大模型。参与图文特征抽取、模型训练和推理服务部署，支持业务侧内容审核与推荐分发。项目结果：形成可复用的技术方案和项目文档。
综合能力：具备文档沉淀、跨团队沟通、问题定位、数据化复盘和持续学习能力，能够根据业务目标选择合适的技术方案。","[""PyTorch"", ""C/C++"", ""机器学习"", ""PPO"", ""Machine Learning"", ""Python"", ""TensorFlow"", ""深度学习"", ""计算机视觉"", ""GRPO"", ""游戏与图形开发"", ""世界模型"", ""SQL"", ""Go"", ""Hadoop"", ""Spark"", ""Tableau"", ""Power BI"", ""FineBI"", ""Agentlightning"", ""Embedding"", ""AIBot"", ""模型微调"", ""Flux""]",8,,,,,,
CM-010,resume_std_005739_exp10_4,音视频工程师,"求职意向：音视频工程师。
标准岗位：音视频工程师；岗位大族：多媒体；经验年限：10年；候选人层级：专家。
岗位系统技能画像：FFmpeg、WebRTC、音视频编解码、H.264、H.265、RTP/RTCP、C++、流媒体、音频处理、视频处理、低延迟传输、性能优化。
个人概述：具备10年左右音视频工程师相关实践经验，熟悉FFmpeg、WebRTC、音视频编解码、H.264、H.265、RTP/RTCP、C++、流媒体，能够承担技术规划、架构演进、团队赋能和关键项目决策。
教育背景：博士研究生，博士学位，普通高校，计算机科学与技术专业。
技能栈：FFmpeg、WebRTC、音视频编解码、H.264、H.265、RTP/RTCP、C++、流媒体、音频处理、视频处理、低延迟传输、性能优化、PyTorch、图像图形技术、AIGC、C/C++、Diffusion模型、Diffusion。
工作经历：音视频工程师方向，累计10年相关实践，主要覆盖方案设计、开发实现、测试验证、问题定位和结果复盘。
项目经历：图形渲染性能优化：担任核心成员，技术栈包括FFmpeg、WebRTC、音视频编解码、H.264、H.265、RTP/RTCP、C++、流媒体。面向音视频工程师岗位场景，围绕FFmpeg、WebRTC、音视频编解码构建从方案设计、实现验证到质量复盘的闭环能力。项目结果：支撑多业务线稳定复用。 低延迟音视频处理系统：担任核心成员，技术栈包括RTP/RTCP、C++、流媒体、音频处理、视频处理、低延迟传输、性能优化、PyTorch。基于RTP/RTCP、C++等技术完成方案验证、问题定位和迭代优化。项目结果：提升问题定位和交付效率。
综合能力：具备文档沉淀、跨团队沟通、问题定位、质量意识和持续学习能力，能够根据业务目标选择合适的技术方案。","[""FFmpeg"", ""WebRTC"", ""音视频编解码"", ""H.264"", ""H.265"", ""RTP/RTCP"", ""C++"", ""流媒体"", ""音频处理"", ""视频处理"", ""低延迟传输"", ""性能优化"", ""PyTorch"", ""图像图形技术"", ""AIGC"", ""C/C++"", ""Diffusion模型"", ""Diffusion""]",10,,,,,,
