candidate_id,summary,extracted_skills,skill_count
resume_000001,"求职意向：算法工程师。
教育背景：本科，学士学位，普通高校，模式识别与智能系统专业，英语四级。
个人...",智能体;人工智能;智能体框架;Embedding;自然语言处理;风控模型;技术美术;Java;TensorFlow;PyTorch;Hadoop;Spark;ARM;Python;机器学习;深度学习;产品经理;运维;SQL;CUDA;ETL;Ascend;检索增强生成;LangChain;提示词工程;多模态;内容运营;Go;模型训练;Data Warehouse,30
resume_000002,"求职意向：测试工程师。
教育背景：硕士研究生，硕士学位，双一流高校，质量管理工程专业，英语六级。
个...",Automated Testing;系统架构;Python;JavaScript;分布式系统;测试开发;产品经理;运维;Go;C#;Linux,11
resume_000003,"求职意向：运维工程师。
教育背景：硕士研究生，硕士学位，985高校，网络工程专业，英语六级。
个人概...",运维;Kubernetes;Linux;Automated Testing;PostgreSQL;Python;Java;JavaScript;SQL;Go;AWS;Azure;Docker;Ansible;Terraform;Prometheus;网络安全;产品经理;系统架构;TypeScript,20
resume_000004,"求职意向：运维工程师。
教育背景：本科，学士学位，211高校，软件工程专业，英语四级。
个人概述：具...",运维;Linux;Docker;Automated Testing;Java;AWS;Azure;Kubernetes;MySQL;Prometheus;产品经理;分布式系统;TypeScript,13
resume_000005,"求职意向：移动开发工程师。
教育背景：硕士研究生，硕士学位，985高校，计算机科学与技术专业，英语六...",Android;Swift;Vue;React;用户增长;Python;Java;Go;系统架构;性能优化;Automated Testing;产品经理;运维;人工智能;C#,15
resume_000006,"求职意向：测试工程师。
教育背景：硕士研究生，硕士学位，985高校，软件工程专业，英语六级。
个人概...",Automated Testing;系统架构;Python;Java;测试开发;Docker;产品经理;运维;Linux;技术美术;Rust;向量数据库,12
resume_000007,"求职意向：前端开发工程师。
教育背景：硕士研究生，硕士学位，985高校，交互设计专业，英语六级。
个...",UX设计;React;Vue;系统架构;用户增长;Python;Java;JavaScript;SQL;CSS;Web;TypeScript;产品经理;运维;运营管理;游戏服务器;数据分析;数据可视化;商业分析;性能优化;Automated Testing,21
resume_000008,"求职意向：后端开发工程师。
教育背景：本科，学士学位，双一流高校，信息工程专业，英语四级。
个人概述...",Node.js;微服务;系统架构;技术美术;Python;JavaScript;Spring;Django;Flask;Kafka;商业分析;MySQL;PostgreSQL;MongoDB;Java;Redis;人工智能;产品经理;运维;ETL;数据湖;Linux;向量数据库,23
resume_000009,"求职意向：运维工程师。
教育背景：硕士研究生，硕士学位，985高校，软件工程专业，英语六级。
个人概...",运维;Kubernetes;Automated Testing;Redis;Python;Java;Go;Docker;Linux;Terraform;MySQL;Prometheus;C#;产品经理;系统架构;TypeScript;网络安全,17
resume_000010,"求职意向：数据工程师。
教育背景：本科，学士学位，双一流高校，数据科学与大数据技术专业，英语四级。
...",数据科学;Kafka;Spark;数据湖;技术美术;Kubernetes;Java;SQL;MySQL;PostgreSQL;MongoDB;Redis;TensorFlow;PyTorch;Hadoop;商业分析;Docker;Python;实时计算;C#;产品经理;运维;实时数仓;数据治理;JavaScript;系统架构;ETL;数据质量;机器学习;向量数据库;深度学习,31
resume_000011,"求职意向：云计算工程师。
教育背景：硕士研究生，硕士学位，211高校，信息安全专业，英语六级。
个人...",网络安全;Docker;Kubernetes;模型量化;Ascend;Python;AWS;Azure;Linux;Terraform;MySQL;系统架构;产品经理;运维;Java;项目管理,16
resume_000012,"求职意向：云计算工程师。
教育背景：本科，学士学位，双一流高校，软件工程专业，英语六级。
个人概述：...",Kubernetes;Linux;Docker;Ascend;人工智能;模型压缩;Python;Java;JavaScript;SQL;Go;AWS;Azure;Ansible;Terraform;产品经理;运维;PostgreSQL;Prometheus;项目管理;分布式训练,21
resume_000013,"求职意向：全栈开发工程师。
教育背景：本科，学士学位，双一流高校，网络工程专业，无。
个人概述：具备...",全栈;Vue;React;Node.js;微服务;系统架构;Python;JavaScript;Go;CSS;Web;Spring;Django;Flask;MySQL;PostgreSQL;MongoDB;Redis;TypeScript;Docker;产品经理;运维;Linux;数据可视化,24
resume_000014,"求职意向：前端开发工程师。
教育背景：本科，学士学位，普通高校，数字媒体技术专业，无。
个人概述：具...",Vue;React;系统架构;用户增长;品牌;Python;Java;JavaScript;SQL;Go;CSS;Web;TypeScript;C++;运营管理;游戏服务器;商业分析;数据可视化;数据分析;性能优化,20
resume_000015,"求职意向：数据分析师。
教育背景：本科，学士学位，普通高校，信息管理与信息系统专业，无。
个人概述：...",数据分析;商业分析;Kafka;ETL;实时计算;自然语言处理;Java;SQL;MySQL;MongoDB;TensorFlow;PyTorch;Hadoop;Spark;技术美术;特征工程;Python;数据可视化;人工智能;Go;产品经理;运维;经营分析;用户增长;渠道运营;Data Warehouse,26
resume_000016,"求职意向：前端开发工程师。
教育背景：硕士研究生，硕士学位，985高校，计算机科学与技术专业，英语六...",Vue;React;系统架构;用户增长;Python;Java;JavaScript;SQL;CSS;TypeScript;Go;Rust;人工智能;UX设计;产品经理;运维;运营管理;游戏服务器;数据可视化;数据分析;性能优化;Automated Testing,22
