case_id,option_rank,job_id,job_title,canonical_role_id,canonical_role,standard_category,standard_direction,required_skills,job_description,human_accept,human_reason,job_title_label,expert_gpt_grade_0_to_3,expert_gpt_accept,expert_gpt_shared_skill_count,expert_gpt_reason,annotator
CM-001,1,JOB05561,抖音广告算法实习生-端变现,advertising_algorithm,广告算法工程师,算法与模型,推荐搜索与决策算法,"[""机器学习"", ""计算机视觉"", ""NLP""]","ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：端变现团队是商业化能力的核心承载者之一，全面负责旗下主流产品矩阵的变现价值挖掘、技术体系搭建与业务增长助力。团队以“技术驱动商业价值，体验平衡增长效能”为核心目标，覆盖抖音、今日头条、番茄小说、西瓜视频、红果短剧等产品变现、用户增长核心业务场景，通过整合变现策略、工程技术与增长激励等多元能力，打通“流量-技术-转化-增长”全链路，为产品商业可持续性、用户体验优化及业务规模增长提供全方位支撑。

1、参与抖音产品的广告全场景、全链路优化，包括召回/粗排/精排/混排各模块的整体优化，构建业界领先的下一代大模型广告投放系统；
2、在超大规模在线深度学习框架下，结合前沿技术，持续优化CTR/CVR/DeepCVR模型精度，持续提升预估能力天花板；
3、在海量广告候选下，进行召回/粗排模型及链路优化，结合服务/素材等不同投放标的，不断优化链路漏斗效率；
4、参与混排/长期价值建模/人群转化渗透/用户体验等业务策略前沿探索，促进各端的全面提收；
5、深入激励/新样式互动等特色业务场景，设计并落地模型、策略一体化方案，推进业务全面快速发展。
1、2027届本科及以上学历在读，计算机等相关专业优先；
2、具备优秀的编码能力，扎实的数据结构和算法功底；
3、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；
4、对技术有热情，有良好的沟通表达能力和团队精神；
5、熟悉机器学习、计算机视觉、自然语言处理、数据挖掘中一项或多项。
具备编码能力、数据结构和算法功底，熟悉机器学习、计算机视觉、自然语言处理或数据挖掘。
端变现; 抖音广告算法",,,广告算法工程师,3,yes,3,标准岗位一致，命中3/3项JD技能，职责方向一致。,expert_gpt_v1
CM-001,2,JOB06103,广告策略算法实习生-Ads Core,advertising_algorithm,广告算法工程师,算法与模型,推荐搜索与决策算法,"[""机器学习"", ""计算机视觉"", ""NLP""]","ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：Ads Core团队是商业化业务的核心技术与策略支撑中枢之一，聚焦广告全链路价值提升，覆盖投放体验优化、技术平台构建、自动化决策升级与创意生态四大核心方向。团队以“打造业界领先的广告商业化体系”为目标，通过前沿技术创新与全链路协同，在保障亿级用户体验的基础上，助力平台广告收入增长，提升广告主投放效率与后端效果，构建可持续发展的广告商业生态。

1、负责广告客户侧投放优化，深入解决客户投放问题，提供冷启动、稳定性、生态等长期问题的策略、模型以及产品化解决方案；
2、针对UBX、托管等自动化投放场景，利用运筹优化等知识，设计最优的跑量、出价策略满足客户差异化的诉求；
3、从客户视角出发，优化投放系统召回、粗排、精排等各阶段效果；优化广告扶持、出价等策略；
4、从客户视角出发，设计实现创新的竞价广告产品，优化抖音跳动等字节跳动全系App的投放效果。
1、2027届本科及以上学历在读，计算机等相关专业优先；
2、具备优秀的编码能力，扎实的数据结构和算法功底；
3、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；
4、对技术有热情，有良好的沟通表达能力和团队精神；
5、熟悉机器学习、计算机视觉、自然语言处理、数据挖掘中一项或多项。
具备编码和算法基础，熟悉机器学习、计算机视觉、NLP或数据挖掘。
Ads Core; 广告策略算法",,,广告算法工程师,3,yes,3,标准岗位一致，命中3/3项JD技能，职责方向一致。,expert_gpt_v1
CM-001,3,JOB03810,广告算法工程师-广告投放优化,advertising_algorithm,广告算法工程师,算法与模型,推荐搜索与决策算法,"[""C++"", ""Java"", ""Python"", ""机器学习"", ""广告算法"", ""推荐算法"", ""NLP"", ""计算机视觉""]","1、新一代交易与广告投放系统：构建与客户生态激励兼容的投放架构，探索最优的广告投放单元，为极致的投放效率、模型效果和系统容量保驾护航；
2、一体化召粗架构：召粗数据流算法和模型迭代，多链路一体化设计，端到端对齐营收目标；
3、智能算力决策系统：利用ML及规划算法优化机器资源调度，在有限的资源容量下最大化营收变现效率；
4、素材生态：构建面向素材和商品的投放系统，明确素材的效果、质量和探索效率，完成体验和营收双赢目标；
5、新技术应用：结合LLM、AIGC新技术做模型与推理的升级，探索广告推荐新范式。
1、优秀的代码能力、数据结构和基础算法功底，熟练C++／Java／Python，ACM-ICPC、NOI/IOI、Kaggle、Codeforces／Topcoder等比赛获奖者优先；
2、熟悉机器学习的基础理论知识，在广告／推荐／NLP／CV或者其他相关应用领域有一定深度的理解；
3、出色的问题分析、洞察和解决能力；
4、良好的沟通协作能力，能和团队一起探索新技术，推进技术进步。
要求熟悉机器学习基础和广告/推荐/NLP/CV方向算法。
广告投放优化; 广告算法",,,广告算法工程师,3,yes,6,标准岗位一致，命中6/8项JD技能，职责方向一致。,expert_gpt_v1
CM-001,4,JOB00003,软件开发,agent_application,智能体应用工程师,AI应用与平台,智能体与大模型应用,"[""AI工程系统架构"", ""大模型工作流"", ""Agent"", ""Agent系统架构"", ""Prompt工程"", ""长文本处理"", ""Function Calling"", ""RAG"", ""多Agent协同"", ""工作流编排"", ""任务调度"", ""异常自愈"", ""根因定位"", ""LLM工程化""]","1. 主导智能化Agent架构设计，整合Prompt工程、长文本处理、Function Calling与RAG等核心能力；
2. 构建多Agent协同工作流机制，实现任务自动拆解、调度与异常自愈；
3. 推动AI能力与现有工程体系深度融合，建立反馈闭环优化模型自修正能力；
4. 制定智能用例生成等场景落地路径，完成从架构搭建到闭环验证的全流程交付；
5. 总结LLM工程化与Agent架构实践，形成可复用技术方案指导团队提升。
1. 具备AI驱动的工程系统架构经验，主导过大模型工作流从0到1搭建，熟悉复杂任务自主拆解与执行；
2. 拥有智能化Agent协同系统的实际开发经验，熟悉在主流平台中落地AI能力以提升研发效率的路径；
3. 能够主导基于大模型的Agent系统架构设计，整合Prompt工程、长文本处理、Function Calling与RAG等核心技术；
4. 能够设计多Agent协同的工作流编排机制，实现任务自动调度与异常自愈，并具备从问题表象定位底层原因的能力；
5. 致力于将AI技术深度融入研发流程，敢于探索新型应用模式并推动关键突破；
6. 符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。
主导过大模型工作流从0到1搭建; 熟悉复杂任务自主拆解与执行; 拥有智能化Agent协同系统实际开发经验; 能够主导基于大模型的Agent系统架构设计; 能够设计多Agent协同的工作流编排机制",,,智能体应用工程师,0,no,0,标准岗位不同，且缺少足够的职责与技能证据。,expert_gpt_v1
CM-001,5,JOB00004,资深产品经理（ 智能体方向）-火山引擎,ai_product,AI产品经理,AI应用与平台,AI平台与产品,[],"1、产品战略与愿景定义：基于市场趋势与客户痛点，独立负责AI Agent产品的战略规划与愿景设计，清晰定义产品核心价值主张与路线图（产品路径图）；
2、全链路产品设计与迭代：负责从需求分析、用户研究、信息架构设计到高保真原型产出的全流程；重点设计Agent的执行引擎抽象、插件化架构交互、多租户安全体系等产品体验，确保技术可行性与业务价值的统一；
3、To B企业级产品落地：深度参与AI产品在生产环境的特性设计，包括安全合规、权限控制、生命周期管理、监控告警、容错机制等，确保产品满足企业级客户的严苛要求；
4、技术与业务桥梁构建：作为业务、研发、市场三方的核心纽带，准确翻译业务需求为技术语言，驱动研发团队高效交付，并对产品上线后的数据表现与用户反馈进行持续迭代优化；
5、行业方案与商业化赋能：结合垂类行业（如私域运营、客户服务等）场景，沉淀标准化的AI Agent产品解决方案，参与售前方案设计与客户成功，推动产品商业化。
1、本科及以上学历，5年及以上AI领域产品经验，其中至少3年专注于AI大模型、Agent智能体或相关技术产品方向的资深经验；
2、深刻理解AI大模型应用、RAG架构、函数调用（Tool Use）、Prompt工程等技术原理，并能转化为产品能力；有To B企业级AI产品落地经验者优先；
3、具备优秀的系统设计能力，能够理解并设计插件化、可扩展、可热插拔的Agent产品架构，具备复杂业务逻辑建模和跨系统产品设计经验；
4、具备较强的技术理解力和沟通能力，能与研发、算法工程师顺畅协作，有效推动技术方案落地；熟悉Go/Java/Python等至少一种开发语言者将极大加分；
5、具备敏锐的商业洞察力，以结果为导向，能够平衡短期交付与长期战略，驱动产品从0到1再到N的规模化成功；
6、自驱力强，具备优秀的项目管理能力和跨团队协作能力，能在快速变化的环境中推动复杂项目顺利完成。
该岗位主要是即时零售产品规划、场景梳理、多产品线协同、用户需求转化、产品数据评估等产品能力，没有明确可抽取的计算机技术关键词
即时零售",,,AI产品经理,0,no,0,标准岗位不同，且缺少足够的职责与技能证据。,expert_gpt_v1
CM-002,1,JOB05856,智能审核Agent算法实习生-商业信任与安全,agent_algorithm,智能体算法工程师,算法与模型,生成式与认知智能,"[""C"", ""C++"", ""Python"", ""机器学习"", ""大模型预训练"", ""大模型微调"", ""强化学习"", ""Agent""]","ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：商业化信任与安全研发团队致力于构建业界领先的智能审核系统，通过前沿 AI 技术保障商业内容安全与合规，提升用户客户的信任。团队通过研发大模型基座、先进的审核大模型和审核系统，持续提升大模型系统对复杂商业化内容的理解、让准确理解遵循安全规则、基于规则深度推理并拉齐人与机器之间的认知，并能感知发现潜在问题，并用Agent高效处理审核问题、自动迭代审核系统，为商业内容安全提供全链路、智能化的技术支撑。

1、搭建风险感知、风险研判、审核策略优化等智能体能力，支持交互类智能体训练；
2、参与审核链路的完全自主进化体系构建；
3、跟踪Agent前沿技术并进行可行性验证（如Perference-based RL、多智能体协作、DeepResearch、数据和模型的Scaling、轻量化模型新RL范式），支持数据基建和模Infra的基建工作，并在商业化安全场景中验证落地。
1、2027届硕士及以上学位在读，计算机、电子信息等相关专业；
2、有扎实的代码能力、数据结构和基础算法功底，熟练掌握C/C++或Python编程语言；
3、熟悉机器学习和大模型基础原理，有大模型预训练、微调、强化学习、Agent搭建经验者优先；
4、在ACM/ICPC、Top Coder、Kaggle等比赛中有优异的表现和获奖经历者优先；
5、在大模型/Agent领域主导过重大影响力项目，或发表过顶会顶刊论文者优先；
6、出色的问题分析和解决能力，能够独立解决复杂的技术问题；良好的沟通协作能力，能够与团队紧密合作，共同推进项目进展。
掌握C/C++或Python，熟悉机器学习和大模型基础原理，有预训练、微调、强化学习或Agent搭建经验优先。
商业信任与安全; 智能审核Agent",,,智能体算法工程师,3,yes,3,标准岗位一致，命中3/8项JD技能，职责方向一致。,expert_gpt_v1
CM-002,2,JOB11383,千问事业部-Agent 算法专家（AI内容创作）-北京,agent_algorithm,智能体算法工程师,算法与模型,生成式与认知智能,"[""NLP"", ""机器学习"", ""LLM"", ""Python"", ""AI Agent"", ""Multi-Agent"", ""任务编排"", ""上下文管理"", ""记忆管理"", ""工具调用"", ""内容生成"", ""自动化Agent""]","1. 复杂内容生成链路的设计与优化：基于大语言模型，负责AI视频生产链路（剧本创作，影视制作流水线）的方案设计，效果评估与持续优化，提升创作流程的效果、可控性与一致性
2. 内容创作 Agent 架构设计与实现：主导复杂内容创作 Agent 的架构设计，对任务规划、工具调用、长时记忆、多 Agent 协作、检索增强等核心模块，推动从需求到成稿的高度自动化
3. 新技术探索与落地：跟进 LLM 与 Agent 领域前沿进展（如 long-horizon planning、多智能体协作、Agent 评测体系等），主动发起实验并推动在公司内容产品中规模化落地
4. 跨团队协作与方向推动：与编辑/编剧/导演等业务专家、产品、工程团队紧密合作，沉淀可复用的内容创作 Skill / 评测标准，通过数据回流持续优化核心指标
1. 计算机、人工智能、数学、统计等相关专业，本科及以上学历；5 年及以上NLP / 机器学习 / LLM 应用相关工作经验
2. 扎实的编程与工程能力，熟练 Python；具备复杂 LLM/Agent 系统的架构设计经验（多 Agent 协作、长流程任务编排、上下文与记忆管理、工具调用体系等）
3. 有 Agent 类项目的完整落地经验（如复杂内容生成、研究/写作助手、长流程任务自动化、多步工具调用 Agent 等），有过 1-2 个独立主导的 Agent 系统设计经验
4. 有良好的自驱力，能独立把控一个完整方向（协同多名工程师），乐于和业务专家共建标准与流程，有过将专家经验沉淀为可复用 Skill / 评测体系的经验加分
要求NLP/机器学习/LLM经验，熟练Python，具备复杂LLM/Agent系统经验，包括多Agent协作、长流程任务编排、上下文与记忆管理、工具调用、内容生成和任务自动化Agent。
AI内容创作Agent算法",,,智能体算法工程师,3,yes,4,标准岗位一致，命中4/12项JD技能，职责方向一致。,expert_gpt_v1
CM-002,3,JOB11277,千问事业部-智能穿戴agent算法专家-北京/杭州,agent_algorithm,智能体算法工程师,算法与模型,生成式与认知智能,"[""Python"", ""PyTorch"", ""LLM"", ""VLM"", ""AI Agent"", ""大模型增量训练"", ""大模型微调"", ""机器人系统"", ""Claw系统""]","负责ai agent在智能穿戴设备(如ai眼镜)中的算法研究和效果优化，深入理解大模型和agent运行原理，提升agent的通用能力。攻克在多模态感官数据（视觉、听觉、IMU、眼球追踪、生理监控）融合大模型驱动下的智能感知、智能决策等技术难题，构建智能穿戴通用智能体，打造用户差异体验。
具体职责：
1、算法研发与创新：ai agent核心算法设计，包括大模型的微调与Agentic RL训练、智能规划决策、多轮反思等，提升agent的通用性与多任务编排执行能力。
2、场景落地与优化：聚焦多传感器感知场景，主导业务算法的落地实施，结合具体业务需求迭代优化模型效果，解决实际问题中技术瓶颈（长上下文理解、多轮连贯性、复杂场景指令遵循能力、多技能融合效果等）。
3、技术前瞻与布局：追踪国内外ai agent、大模型领域的前沿技术动态（顶会论文、工业界实践等），主导技术预研与攻关，推动技术成果转化，保障团队技术竞争力。
1、计算机科学、数学或相关领域硕士及以上学历，2年以上Al/大模型算法研发经验。
2、熟练掌握Python等编程语言，熟悉深度学习框架(pytorch等)，有llm、vlm、通用ai agent，大模型增量训练和微调项目经验者优先。
3、有主导复杂AI系统（如机器人、claw类系统、Agent类产品）从算法设计到落地的完整项目经验优先，能独立解决高难度技术问题。
4、在顶会顶刊中发表过论文优先，包括但不限于 NeurIPS、ICML、ICLR、ACL、EMNLP、CVPR等。
要求掌握Python、PyTorch，具备AI/大模型算法经验，LLM、VLM、通用Agent、大模型增量训练和微调，机器人、claw类系统或Agent产品经验优先。
智能穿戴Agent",,,智能体算法工程师,3,yes,3,标准岗位一致，命中3/9项JD技能，职责方向一致。,expert_gpt_v1
CM-002,4,JOB00001,后端开发工程师岗,backend_engineering,后端开发工程师,软件工程,服务端与工程架构,"[""Java"", ""B/S架构"", ""Spring"", ""Spring Boot"", ""MyBatis"", ""MySQL"", ""数据库优化"", ""缓存"", ""大数据存储"", ""消息队列"", ""中间件"", ""后端开发"", ""系统架构设计"", ""AI应用""]","1.深入研究国际物流、海外仓储及跨境电商等业务场景，通过技术创新提升系统性能和用户体验;
2.负责系统架构的设计与优化，确保技术解决方案的前瞻性和可持续性;
3.主导开发重要的系统模块和组件，提升系统的稳定性、可扩展性和安全性;
4.作为团队的技术引领者，带领团队解决复杂的技术挑战，推动项目高效执行。
1.拥有计算机或相关领域的本科及以上学历，基础扎实，热爱编程;
2.至少5年以上的JAVA开发经验，对B/S架构有深入理解和丰富应用实践;
3.精通SPRING，SPRINGBOOT、MYBATIS等主流技术框架，对MYSQL等数据库有深入了解和优化经验；熟悉缓存技术、大数据存储技术、消息队列等技术中间件;
4.具备出色的团队协作和沟通能力，能够高效推动项目进展，解决技术难题;
5.优先考虑具有产品架构设计、自主开发组件、物流行业背景的候选人。
6.需要具备AI应用相关经验。
符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。
至少5年以上Java开发经验; 对B/S架构有深入理解和丰富应用实践; 精通Spring、Spring Boot、MyBatis等主流技术框架; 对MySQL等数据库有深入了解和优化经验; 熟悉缓存技术、大数据存储技术、消息队列等技术中间件; 具备AI应用相关经验
国际物流; 海外仓储; 跨境电商; 物流行业",,,后端开发工程师,0,no,0,标准岗位不同，且缺少足够的职责与技能证据。,expert_gpt_v1
CM-002,5,JOB00004,资深产品经理（ 智能体方向）-火山引擎,ai_product,AI产品经理,AI应用与平台,AI平台与产品,[],"1、产品战略与愿景定义：基于市场趋势与客户痛点，独立负责AI Agent产品的战略规划与愿景设计，清晰定义产品核心价值主张与路线图（产品路径图）；
2、全链路产品设计与迭代：负责从需求分析、用户研究、信息架构设计到高保真原型产出的全流程；重点设计Agent的执行引擎抽象、插件化架构交互、多租户安全体系等产品体验，确保技术可行性与业务价值的统一；
3、To B企业级产品落地：深度参与AI产品在生产环境的特性设计，包括安全合规、权限控制、生命周期管理、监控告警、容错机制等，确保产品满足企业级客户的严苛要求；
4、技术与业务桥梁构建：作为业务、研发、市场三方的核心纽带，准确翻译业务需求为技术语言，驱动研发团队高效交付，并对产品上线后的数据表现与用户反馈进行持续迭代优化；
5、行业方案与商业化赋能：结合垂类行业（如私域运营、客户服务等）场景，沉淀标准化的AI Agent产品解决方案，参与售前方案设计与客户成功，推动产品商业化。
1、本科及以上学历，5年及以上AI领域产品经验，其中至少3年专注于AI大模型、Agent智能体或相关技术产品方向的资深经验；
2、深刻理解AI大模型应用、RAG架构、函数调用（Tool Use）、Prompt工程等技术原理，并能转化为产品能力；有To B企业级AI产品落地经验者优先；
3、具备优秀的系统设计能力，能够理解并设计插件化、可扩展、可热插拔的Agent产品架构，具备复杂业务逻辑建模和跨系统产品设计经验；
4、具备较强的技术理解力和沟通能力，能与研发、算法工程师顺畅协作，有效推动技术方案落地；熟悉Go/Java/Python等至少一种开发语言者将极大加分；
5、具备敏锐的商业洞察力，以结果为导向，能够平衡短期交付与长期战略，驱动产品从0到1再到N的规模化成功；
6、自驱力强，具备优秀的项目管理能力和跨团队协作能力，能在快速变化的环境中推动复杂项目顺利完成。
该岗位主要是即时零售产品规划、场景梳理、多产品线协同、用户需求转化、产品数据评估等产品能力，没有明确可抽取的计算机技术关键词
即时零售",,,AI产品经理,0,no,0,标准岗位不同，且缺少足够的职责与技能证据。,expert_gpt_v1
