sample_id,record_id,reference_skills,reference_warning,reference_years_experience,reference_education
RES-001,resume_std_005590_exp08_3,"[""C/C++"", ""嵌入式系统"", ""Linux"", ""RTOS"", ""ARM"", ""MCU"", ""驱动开发"", ""串口"", ""CAN"", ""I2C"", ""SPI"", ""硬件调试"", ""TCP/IP"", ""光学技术"", ""内存管理"", ""系统开发"", ""Python"", ""Shell脚本""]",仅供盲标完成后复核，不得直接复制为金标,8,"{""education"": ""硕士研究生"", ""degree"": ""硕士"", ""school_category"": ""普通高校"", ""major"": ""电子信息工程"", ""english_level"": ""英语六级""}"
RES-002,resume_001898_exp01_1,"[""推荐算法"", ""Machine Learning"", ""NLP"", ""深度学习"", ""C/C++"", ""PyTorch"", ""机器学习"", ""Linux"", ""Java"", ""TensorFlow"", ""Python"", ""信息检索"", ""SQL"", ""Pandas"", ""NumPy"", ""Tableau"", ""Power BI"", ""FineBI"", ""DATA+AI"", ""AIOps"", ""Few-shot"", ""RAG"", ""Multimodal AI"", ""LLM/NLP""]",仅供盲标完成后复核，不得直接复制为金标,1,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""普通高校"", ""major"": ""人工智能"", ""english_level"": ""无""}"
RES-003,resume_000206_exp08_3,"[""AI测试"", ""Go"", ""Python"", ""软件测试"", ""C/C++"", ""Java"", ""Ai coding"", ""JavaScript"", ""PHP"", ""Shell脚本"", ""数据工程"", ""软件开发"", ""Selenium"", ""JUnit"", ""JMeter"", ""Postman"", ""自动化测试"", ""安全测试"", ""性能测试"", ""Security Testing"", ""Automated Testing"", ""Performance Testing"", ""代码生成"", ""系统设计""]",仅供盲标完成后复核，不得直接复制为金标,8,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""211高校"", ""major"": ""计算机科学与技术"", ""english_level"": ""英语四级""}"
RES-004,resume_std_005930_exp03_3,"[""结构设计"", ""SolidWorks"", ""CAD"", ""机械设计"", ""可靠性测试"", ""3D建模"", ""公差分析"", ""材料力学"", ""有限元分析"", ""样机验证"", ""热设计"", ""工艺评审"", ""工业自动化"", ""感知算法"", ""自动化技术"", ""光学技术"", ""机器人与自动驾驶"", ""仿真技术""]",仅供盲标完成后复核，不得直接复制为金标,3,"{""education"": ""博士研究生"", ""degree"": ""博士"", ""school_category"": ""普通高校"", ""major"": ""电子信息工程"", ""english_level"": ""英语六级""}"
RES-005,resume_002451_exp03_3,"[""Go"", ""Kubernetes"", ""C/C++"", ""Docker"", ""Java"", ""Linux"", ""Python"", ""云计算"", ""分布式系统"", ""模型部署"", ""AI基础设施"", ""推理优化"", ""JavaScript"", ""SQL"", ""AWS"", ""Azure"", ""Terraform"", ""CI/CD"", ""LLVM/MLIR"", ""ARM"", ""Model Training"", ""CUDA/NPU"", ""Redis"", ""Elasticsearch""]",仅供盲标完成后复核，不得直接复制为金标,3,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""211高校"", ""major"": ""网络工程"", ""english_level"": ""英语四级""}"
RES-006,resume_003560_exp08_3,"[""信息安全"", ""大模型安全"", ""Java"", ""数据工程"", ""模型安全"", ""Python"", ""AI安全"", ""Go"", ""Flink"", ""计算机网络"", ""Docker"", ""Hadoop"", ""JavaScript"", ""Kubernetes"", ""Linux"", ""Terraform"", ""CI/CD"", ""DevOps"", ""自动化测试"", ""安全测试"", ""性能测试"", ""Milvus"", ""Vector Database"", ""Oracle""]",仅供盲标完成后复核，不得直接复制为金标,8,"{""education"": ""硕士研究生"", ""degree"": ""硕士"", ""school_category"": ""985高校"", ""major"": ""计算机科学与技术"", ""english_level"": ""英语六级""}"
RES-007,resume_001907_exp03_1,"[""C/C++"", ""软件开发"", ""Android Framework"", ""Java"", ""Swift"", ""性能优化"", ""Android"", ""Kotlin"", ""跨平台开发"", ""Objective-C"", ""iOS"", ""Python"", ""React Native"", ""Flutter"", ""React"", ""Vue"", ""用户研究"", ""品牌"", ""用户增长"", ""架构设计"", ""分布式系统"", ""移动端性能优化"", ""NLP"", ""计算机网络""]",仅供盲标完成后复核，不得直接复制为金标,3,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""普通高校"", ""major"": ""数字媒体技术"", ""english_level"": ""英语四级""}"
RES-008,resume_001583_exp02_2,"[""C/C++"", ""Python"", ""信息安全"", ""Java"", ""Go"", ""Docker"", ""软件开发"", ""机器学习"", ""硬件开发"", ""自动化技术"", ""Linux"", ""Machine Learning"", ""Kubernetes"", ""Ansible"", ""Terraform"", ""DevOps"", ""云计算"", ""自动化测试"", ""安全测试"", ""性能测试"", ""Vector Database"", ""Redis"", ""MySQL"", ""Shell""]",仅供盲标完成后复核，不得直接复制为金标,2,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""211高校"", ""major"": ""网络工程"", ""english_level"": ""英语四级""}"
RES-009,resume_001360_exp05_3,"[""信息安全"", ""大模型安全"", ""Java"", ""数据工程"", ""模型安全"", ""Python"", ""AI安全"", ""Go"", ""Flink"", ""计算机网络"", ""Docker"", ""Hadoop"", ""JavaScript"", ""SQL"", ""AWS"", ""Azure"", ""Kubernetes"", ""Linux"", ""Ansible"", ""Terraform"", ""DevOps"", ""云计算"", ""CI/CD"", ""自动化测试""]",仅供盲标完成后复核，不得直接复制为金标,5,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""双一流高校"", ""major"": ""软件工程"", ""english_level"": ""英语四级""}"
RES-010,resume_001866_exp10_4,"[""模型服务化"", ""模型部署"", ""AI基础设施"", ""模型工程"", ""GPU内存优化"", ""模型推理"", ""DeepSpeed"", ""Triton"", ""推理优化"", ""CUDA"", ""MCP"", ""Megatron"", ""Python"", ""Java"", ""Go"", ""Docker"", ""Kubernetes"", ""Linux"", ""CI/CD"", ""DevOps"", ""性能测试"", ""自动化测试"", ""安全测试"", ""MySQL""]",仅供盲标完成后复核，不得直接复制为金标,10,"{""education"": ""硕士研究生"", ""degree"": ""硕士"", ""school_category"": ""双一流高校"", ""major"": ""计算机科学与技术"", ""english_level"": ""英语六级""}"
RES-011,resume_001665_exp10_4,"[""Machine Learning"", ""分布式系统"", ""机器学习"", ""深度学习"", ""C/C++"", ""Embedding"", ""Linux"", ""NLP"", ""Python"", ""RAG"", ""向量数据库"", ""推荐算法"", ""Java"", ""TensorFlow"", ""PyTorch"", ""Hadoop"", ""Spark"", ""Tableau"", ""Power BI"", ""FineBI"", ""大语言模型"", ""Agentic"", ""Agent"", ""AgentBench""]",仅供盲标完成后复核，不得直接复制为金标,10,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""双一流高校"", ""major"": ""软件工程"", ""english_level"": ""英语四级""}"
RES-012,resume_002797_exp03_1,"[""Python"", ""TensorFlow"", ""C/C++"", ""TTS"", ""PyTorch"", ""Go"", ""NLP"", ""机器学习"", ""ASR"", ""信号处理"", ""音视频技术"", ""Linux"", ""JavaScript"", ""Pandas"", ""NumPy"", ""Hadoop"", ""Spark"", ""Tableau"", ""Power BI"", ""FineBI"", ""QClaw-AI"", ""多模态AI"", ""Multi-Agent"", ""Prompt Engineering""]",仅供盲标完成后复核，不得直接复制为金标,3,"{""education"": ""博士研究生"", ""degree"": ""博士"", ""school_category"": ""双一流高校"", ""major"": ""模式识别与智能系统"", ""english_level"": ""英语六级""}"
RES-013,resume_000567_exp01_1,"[""Go"", ""Python"", ""prompt工程"", ""C/C++"", ""Java"", ""LangChain"", ""Agent"", ""Function Calling"", ""LLM"", ""RAG"", ""软件开发"", ""LangGraph"", ""Spring Boot"", ""Django"", ""Flask"", ""RESTful API"", ""Node.js"", ""Kafka"", ""RabbitMQ"", ""MySQL"", ""Microservices"", ""微服务"", ""高并发"", ""代码测试""]",仅供盲标完成后复核，不得直接复制为金标,1,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""普通高校"", ""major"": ""网络工程"", ""english_level"": ""英语六级""}"
RES-014,resume_003871_exp01_1,"[""Go"", ""Python"", ""Spark"", ""操作系统"", ""C/C++"", ""Flink"", ""Redis"", ""Hadoop"", ""Java"", ""Kafka"", ""MySQL"", ""分布式系统"", ""JavaScript"", ""SQL"", ""HTML"", ""CSS"", ""React"", ""Vue"", ""Spring Boot"", ""Django"", ""Flask"", ""PostgreSQL"", ""MongoDB"", ""Microservices""]",仅供盲标完成后复核，不得直接复制为金标,1,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""普通高校"", ""major"": ""计算机科学与技术"", ""english_level"": ""英语四级""}"
RES-015,resume_std_005789_exp03_3,"[""SoC设计"", ""ASIC"", ""Verilog"", ""RTL设计"", ""数字IC"", ""SystemVerilog"", ""低功耗设计"", ""时序分析"", ""综合约束"", ""脚本自动化"", ""Python"", ""EDA工具"", ""CUDA"", ""C/C++"", ""Machine Learning"", ""TensorRT"", ""Triton"", ""GPU内存优化""]",仅供盲标完成后复核，不得直接复制为金标,3,"{""education"": ""本科"", ""degree"": ""学士"", ""school_category"": ""普通高校"", ""major"": ""微电子科学与工程"", ""english_level"": ""英语四级""}"
