sample_id,pair_id,source_grade,reference_warning
MATCH-001,resume_000026__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-002,resume_000010__12,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-003,resume_000057__01,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-004,resume_000006__15,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-005,resume_000018__16,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-006,resume_000001__12,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-007,resume_000001__15,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-008,resume_000015__11,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-009,resume_000037__03,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-010,resume_000023__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-011,resume_000001__02,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-012,resume_000020__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-013,resume_000013__01,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-014,resume_000014__02,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-015,resume_000016__09,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-016,resume_000007__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-017,resume_000009__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-018,resume_000018__18,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-019,resume_000023__13,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-020,resume_000014__12,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-021,resume_000037__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-022,resume_000010__01,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-023,resume_000011__15,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-024,resume_000007__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-025,resume_000009__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-026,resume_000010__06,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-027,resume_000027__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-028,resume_000007__15,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-029,resume_000018__05,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-030,resume_000022__02,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-031,resume_000020__17,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-032,resume_000024__17,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-033,resume_000017__15,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-034,resume_000019__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-035,resume_000052__07,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-036,resume_000012__03,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-037,resume_000037__10,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-038,resume_000037__12,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-039,resume_000002__08,2,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-040,resume_000013__14,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-041,resume_000001__01,1,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-042,resume_000006__12,3,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-043,resume_000027__17,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-044,resume_000006__20,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-045,resume_000015__01,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-046,resume_000024__09,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
MATCH-047,resume_000030__08,0,历史迁移标签，仅供盲标完成后复核，不得直接复制为金标
