role_id_a,role_id_b,relation,matching_treatment,rationale
llm_application,agent_application,related_specialization,partial_credit,智能体应用是大模型应用的专长分支但需要额外的规划和工具调用能力
llm_algorithm,agent_algorithm,related_specialization,partial_credit,两者都使用基础模型能力但算法目标分别是模型本体与智能体决策
llm_algorithm,nlp_algorithm,related_specialization,partial_credit,语言模型研发与自然语言处理共享能力但岗位范围不同
llm_algorithm,multimodal_algorithm,related_specialization,partial_credit,多模态算法可复用基础模型能力但工作对象不同
recommendation_algorithm,advertising_algorithm,related_specialization,partial_credit,广告优化复用推荐排序能力但以投放和出价目标为边界
recommendation_algorithm,search_algorithm,related_specialization,partial_credit,搜索和推荐共享召回排序能力但服务对象不同
data_engineering,data_warehouse,related_specialization,partial_credit,数仓工程是数据工程中的建模和离线资产专长
data_engineering,data_platform,related_specialization,partial_credit,数据平台工程以平台化交付区别于数据管道开发
data_platform,data_governance,related_specialization,partial_credit,治理工程与数据平台共享数据资产边界但交付目标不同
backend_engineering,software_architecture,career_adjacent,no_auto_credit,架构岗位要求系统设计责任不能由普通后端经验自动等同
backend_engineering,system_software,related_specialization,partial_credit,两者共享服务和性能工程能力但系统软件面向基础运行环境
frontend_engineering,client_engineering,related_specialization,partial_credit,两者都承担交互层工程但运行平台不同
embedded_software,driver_software,related_specialization,partial_credit,驱动开发是嵌入式底层适配专长
cloud_engineering,devops_engineering,related_specialization,partial_credit,云平台与DevOps共享部署自动化能力但主要责任不同
devops_engineering,operations_engineering,related_specialization,partial_credit,DevOps与运维共享稳定性责任但DevOps额外承担交付自动化
cybersecurity_engineering,ai_security_engineering,related_specialization,partial_credit,AI安全建立在网络信息安全基础上但增加模型和提示攻击边界
chip_design,chip_verification,related_specialization,partial_credit,验证与设计协作紧密但验证覆盖责任不能与设计交付等同
chip_design,chip_test,related_specialization,partial_credit,测试和设计共享芯片领域知识但测试量产责任不同
robotics_algorithm,robotics_software,related_specialization,partial_credit,机器人算法与软件集成共享系统领域但交付物不同
autonomous_driving_algorithm,control_algorithm,related_specialization,partial_credit,自动驾驶控制是控制算法的场景化专长
navigation_positioning_algorithm,autonomous_driving_algorithm,related_specialization,partial_credit,自动驾驶可包含定位模块但导航定位以建图状态估计和定位精度为主要交付
navigation_positioning_algorithm,robotics_algorithm,related_specialization,partial_credit,机器人系统可使用定位能力但机器人算法包含更广的感知决策和控制交付
navigation_positioning_algorithm,cv_algorithm,related_specialization,partial_credit,视觉定位可复用视觉感知能力但导航定位要求多传感器状态估计和定位闭环
data_analysis,data_scientist,related_specialization,partial_credit,数据科学增加实验设计统计推断和因果决策模型交付
data_scientist,ml_algorithm,related_specialization,partial_credit,数据科学可使用机器学习但其主交付是实验和决策问题而非通用模型训练
cybersecurity_engineering,security_operations,related_specialization,partial_credit,安全运营以持续监测告警研判和事件响应闭环区别于安全研发攻防和治理
data_center_hvac,thermal_engineering,related_specialization,partial_credit,热设计面向电子产品散热而数据中心暖通面向机房园区制冷和设施能效
data_center_hvac,server_engineering,related_specialization,partial_credit,服务器工程面向设备集成算力支撑而数据中心暖通面向设施制冷和能效
graphics_engineering,game_technical_artist,related_specialization,partial_credit,图形工程交付通用图形图像系统而技术美术交付资产表现工具链和视觉性能
ai_product,smart_hardware_product,career_adjacent,no_auto_credit,两者都承担产品职责但前者以AI能力方案为主后者以实体硬件规格量产和供应链交付为主
test_development,software_testing,related_specialization,partial_credit,测试开发承担自动化工具责任而测试工程承担验证责任
test_development,model_testing,related_specialization,partial_credit,模型测试可复用测试开发能力但需模型评测知识
technical_support,solution_engineering,related_specialization,partial_credit,售前方案与技术支持共享产品知识但客户生命周期责任不同
