job_id,month,job_title,responsibility,requirement,source
SYN-EDGE-001,2026-08,边缘智能体编排工程师,负责端侧智能体任务编排与端云协同调度,熟悉智能体编排工具调用与任务状态机,synthetic_demo
SYN-EDGE-002,2026-08,边缘智能体编排工程师,负责边缘设备多智能体协同与资源调度,掌握端云协同和分布式任务编排,synthetic_demo
SYN-EDGE-003,2026-08,边缘智能体编排工程师,建设端侧智能体运行时和故障回退机制,熟悉智能体运行时与可靠性设计,synthetic_demo
SYN-EDGE-004,2026-08,边缘智能体编排工程师,实现边缘节点工具调用和任务状态跟踪,掌握工具调用与状态机开发,synthetic_demo
SYN-EDGE-005,2026-08,边缘智能体编排工程师,设计端云任务拆分和动态协同策略,具备端云协同与边缘计算经验,synthetic_demo
SYN-EDGE-006,2026-08,边缘智能体编排工程师,负责设备群智能体编排和异常恢复,熟悉多智能体协作与故障回退,synthetic_demo
SYN-EDGE-007,2026-08,边缘智能体编排工程师,开发边缘智能体任务审计与追踪模块,掌握任务审计和可观测性技术,synthetic_demo
SYN-EDGE-008,2026-08,边缘智能体编排工程师,优化端侧模型工具链和协同执行效率,熟悉端侧推理与工具链优化,synthetic_demo
SYN-EDGE-009,2026-08,边缘智能体编排工程师,构建跨设备智能体消息与任务协议,掌握消息协议和分布式系统,synthetic_demo
SYN-EDGE-010,2026-08,边缘智能体编排工程师,负责智能体任务优先级和资源冲突处理,熟悉调度算法与资源治理,synthetic_demo
SYN-EDGE-011,2026-08,边缘智能体编排工程师,建设边缘智能体安全隔离与权限控制,掌握智能体安全和权限管理,synthetic_demo
SYN-EDGE-012,2026-08,边缘智能体编排工程师,验证端云协同场景并沉淀岗位能力要求,具备场景测试和能力建模经验,synthetic_demo
