sample_id,record_id,reference_skills,reference_warning
JD-001,job_eff927b000e80a2474d6,"[""架构设计""]",仅供盲标完成后复核，不得直接复制为金标
JD-002,JOB03743,"[""Java"", ""大数据系统"", ""数据应用产品"", ""Kafka"", ""Redis"", ""Flink"", ""ClickHouse"", ""Doris""]",仅供盲标完成后复核，不得直接复制为金标
JD-003,job_563e7839ae70813c1e52,[],仅供盲标完成后复核，不得直接复制为金标
JD-004,JOB03412,"[""Android"", ""Linux"", ""Android BSP"", ""C"", ""C++"", ""Linux驱动"", ""Kernel"", ""Thermal-Engine"", ""Kernel Thermal Core"", ""温控算法"", ""SS"", ""Monitor"", ""PID"", ""功耗分析"", ""热分析"", ""功耗优化"", ""SOC""]",仅供盲标完成后复核，不得直接复制为金标
JD-005,JOB04844,"[""C"", ""C++"", ""Golang"", ""Java"", ""Python"", ""数据结构与算法"", ""搜索算法"", ""LLM"", ""机器学习"", ""推荐系统"", ""NLP"", ""计算机视觉"", ""语音算法"", ""AI Agent"", ""计算广告"", ""架构设计""]",仅供盲标完成后复核，不得直接复制为金标
JD-006,JOB03725,"[""设计模式"", ""Java"", ""Python"", ""Go"", ""MySQL"", ""Redis"", ""ClickHouse"", ""Kafka"", ""RabbitMQ"", ""LLM应用开发"", ""Prompt Engineering"", ""AI Agent"", ""Function Calling"", ""RAG"", ""DSL2SQL"", ""数据可视化Agent"", ""豆包"", ""DeepSeek"", ""GPT"", ""Gemini"", ""AI Coding""]",仅供盲标完成后复核，不得直接复制为金标
JD-007,job_e83c1961d035dbde04ad,"[""运营"", ""用户增长""]",仅供盲标完成后复核，不得直接复制为金标
JD-008,job_536e831c73e3db711257,[],仅供盲标完成后复核，不得直接复制为金标
JD-009,JOB00521,"[""云计算开发""]",仅供盲标完成后复核，不得直接复制为金标
JD-010,GOV-2026-109212-300130851014,[],仅供盲标完成后复核，不得直接复制为金标
JD-011,job_9d25af65490d73968024,"[""高并发"", ""架构设计""]",仅供盲标完成后复核，不得直接复制为金标
JD-012,JOB00537,[],仅供盲标完成后复核，不得直接复制为金标
JD-013,JOB04698,"[""LLM"", ""Prompt Engineering"", ""LoRA"", ""QLoRA"", ""RLHF"", ""DPO"", ""GRPO"", ""SQL"", ""Python"", ""机器学习"", ""深度学习"", ""算法开发""]",仅供盲标完成后复核，不得直接复制为金标
